STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201001,1,-7777,0,0,0,0,0,0,0,1,-7777,999,1000,1000,1000,1000,1000,-7777,0,0,0,0,0,0,0,465,618,773,928,990,1083,1238,50,31,86,62,108,114,80,73,78,21,0,4,1,114,23,1,0,160,35,130,99,0,69,4,-7777,0,0,0,114,27,82,178,295,310,310,310,310,251,175,338,163,52,22,47,59
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201002,7,1,-7777,0,0,0,0,0,0,11,7,978,999,1000,1000,1000,1000,1,-7777,0,0,0,0,0,0,304,437,577,717,773,857,997,38,15,55,46,72,69,58,48,57,20,0,1,0,86,19,0,0,103,22,85,59,0,140,33,4,0,0,0,46,13,45,138,260,279,280,280,280,294,208,398,190,55,29,57,57
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201003,50,14,3,-7777,-7777,0,0,0,0,73,57,785,974,1000,1000,1000,1000,14,3,-7777,-7777,0,0,0,0,123,242,385,538,600,693,848,54,7,73,22,104,48,82,27,35,9,0,2,0,101,28,1,0,33,-7777,20,13,0,275,151,46,3,0,0,4,-7777,4,70,262,304,310,310,310,376,251,502,251,27,37,40,22
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201004,143,64,22,5,2,-7777,-7777,0,0,156,132,333,837,997,1000,1000,1000,64,22,5,2,-7777,-7777,0,0,39,109,217,350,407,495,645,62,0,80,5,99,17,85,10,23,3,0,0,0,97,28,2,-7777,2,0,0,0,0,298,232,117,40,5,0,0,0,0,30,195,282,300,300,300,435,288,579,291,26,27,37,20
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201005,346,212,110,46,29,13,2,-7777,-7777,279,248,18,195,637,937,997,1000,212,110,46,29,13,2,-7777,-7777,4,24,77,168,214,290,434,69,0,126,0,198,0,148,1,3,-7777,0,0,0,104,44,6,1,-7777,0,0,0,0,310,296,213,105,37,2,0,0,0,2,85,218,305,310,310,511,297,659,362,24,32,36,20
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201006,540,391,251,133,97,55,16,2,1,390,356,0,0,4,175,666,968,391,251,133,97,55,16,2,1,-7777,1,11,43,67,115,226,59,0,106,0,157,0,118,0,0,0,0,0,0,85,37,4,1,0,0,0,0,0,300,300,276,198,86,9,0,0,0,0,12,112,273,300,300,580,318,739,421,23,26,32,18
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201007,780,624,470,318,260,180,75,17,7,545,504,0,0,0,13,140,527,624,470,318,260,180,75,17,7,0,0,-7777,4,7,20,70,25,0,51,0,90,0,65,0,0,0,0,0,0,46,18,2,-7777,0,0,0,0,2,310,310,309,289,219,83,0,0,0,0,1,39,233,309,310,651,379,841,462,33,29,44,25
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201008,761,606,452,302,245,166,67,14,5,540,502,0,0,2,38,195,624,606,452,302,245,166,67,14,5,0,-7777,1,6,11,25,81,21,0,53,0,86,0,71,0,0,0,0,0,0,43,18,3,1,0,0,0,0,2,310,310,308,289,223,88,0,0,0,0,4,66,249,308,310,646,393,842,449,21,28,30,21
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201009,469,325,198,100,70,37,9,1,-7777,393,362,7,141,533,878,986,1000,325,198,100,70,37,9,1,-7777,1,7,30,82,112,169,291,17,0,39,0,78,0,55,0,0,0,0,0,0,43,15,2,-7777,0,0,0,0,0,300,297,271,199,102,17,0,0,0,2,80,199,293,300,300,556,381,746,366,29,36,43,23
GHCND:USW00024130,BAKER CITY MUNICIPAL AIRPORT OR US,1024.4,44.8428,-117.8086,201010,173,82,30,7,3,1,-7777,-7777,0,205,178,570,934,999,1000,1000,1000,82,30,7,3,1,-7777,-7777,0,37,99,202,334,392,483,637,27,0,49,0,84,1,63,1,4,0,0,0,0,63,19,1,0,1,0,0,0,0,306,264,161,57,12,0,-7777,0,1,42,222,290,310,310,310,445,326,608,281,25,42,39,24
