STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201001,113,30,5,-7777,0,0,0,0,0,32,18,21,112,303,643,930,995,30,5,-7777,0,0,0,0,0,28,100,229,380,442,535,690,-9999,-9999,-9999,-9999,-9999,-9999,1186,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,291,106,3,0,0,0,3,0,0,0,58,209,305,310,310,427,109,482,373,27,17,27,29
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201002,114,27,1,-7777,0,0,0,0,0,42,25,9,57,228,569,931,1000,27,1,-7777,0,0,0,0,0,12,65,179,318,374,458,598,-9999,-9999,-9999,-9999,-9999,-9999,894,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,277,147,1,0,0,0,0,0,0,0,47,190,279,280,280,437,131,502,371,21,15,21,23
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201003,192,69,12,1,-7777,-7777,0,0,0,90,64,0,0,14,246,786,999,69,12,1,-7777,-7777,0,0,0,3,35,133,277,338,431,586,-9999,-9999,-9999,-9999,-9999,-9999,909,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,240,35,0,0,0,0,0,0,0,30,180,310,310,310,461,150,536,386,19,17,22,19
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201004,269,131,42,10,5,2,0,0,0,147,118,0,0,0,0,534,973,131,42,10,5,2,0,0,0,-7777,12,73,192,247,333,481,-9999,-9999,-9999,-9999,-9999,-9999,628,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,277,78,15,2,0,0,0,0,0,6,146,297,300,300,489,174,577,402,16,20,21,16
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201005,418,264,123,36,20,8,2,0,0,227,190,0,0,0,0,46,490,264,123,36,20,8,2,0,0,0,1,14,82,129,209,359,-9999,-9999,-9999,-9999,-9999,-9999,385,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,309,177,30,7,0,0,0,0,0,0,45,261,310,310,535,168,619,451,15,17,19,15
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201006,518,368,219,87,51,19,3,-7777,-7777,298,252,0,0,0,0,0,85,368,219,87,51,19,3,-7777,-7777,0,0,1,19,43,102,236,-9999,-9999,-9999,-9999,-9999,-9999,305,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,300,257,46,10,1,0,0,0,0,0,14,162,300,300,573,165,655,490,13,22,17,17
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201007,654,499,344,191,133,65,12,2,1,409,353,0,0,0,0,0,0,499,344,191,133,65,12,2,1,0,0,-7777,2,6,31,133,-9999,-9999,-9999,-9999,-9999,-9999,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,310,306,124,17,4,0,0,0,0,0,0,70,303,310,611,168,695,527,13,16,18,11
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201008,663,508,353,198,139,64,9,1,1,419,362,0,0,0,0,0,0,508,353,198,139,64,9,1,1,0,0,0,-7777,2,21,121,-9999,-9999,-9999,-9999,-9999,-9999,133,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,310,309,140,11,1,0,0,0,0,0,0,70,305,310,614,171,699,529,9,14,10,13
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201009,565,415,266,127,81,34,4,-7777,0,346,300,0,0,0,0,0,38,415,266,127,81,34,4,-7777,0,0,0,-7777,11,26,69,189,-9999,-9999,-9999,-9999,-9999,-9999,277,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,300,279,104,15,0,0,0,0,0,0,8,171,298,300,588,195,686,491,11,17,15,13
GHCND:USC00353014,FORT CLATSOP NATIONAL MONUMENT OR US,12.8,46.13556,-123.87806,201010,385,232,100,24,11,3,-7777,0,0,198,160,0,0,0,15,203,691,232,100,24,11,3,-7777,0,0,-7777,3,26,105,154,239,391,-9999,-9999,-9999,-9999,-9999,-9999,747,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,306,140,12,0,0,0,0,0,0,2,56,257,310,310,524,150,599,449,16,24,22,18
