STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00357466,ST HELENS RFD OR US,unknown,unknown,unknown,201001,42,6,-7777,0,0,0,0,0,0,12,6,227,501,807,967,1000,1000,6,-7777,0,0,0,0,0,0,103,222,371,525,587,680,835,-9999,-9999,-9999,-9999,-9999,-9999,696,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,237,45,0,0,0,0,11,0,0,10,144,268,310,310,310,380,111,436,325,23,25,23,29
GHCND:USC00357466,ST HELENS RFD OR US,unknown,unknown,unknown,201002,74,19,2,-7777,0,0,0,0,0,39,26,176,396,704,937,998,1000,19,2,-7777,0,0,0,0,0,52,137,260,397,453,537,677,-9999,-9999,-9999,-9999,-9999,-9999,498,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,248,116,8,0,0,0,3,0,1,11,111,234,278,280,280,408,148,482,334,28,27,30,32
GHCND:USC00357466,ST HELENS RFD OR US,unknown,unknown,unknown,201003,184,77,19,2,1,-7777,-7777,0,0,108,84,28,106,352,726,951,998,77,19,2,1,-7777,-7777,0,0,13,60,157,295,356,448,603,-9999,-9999,-9999,-9999,-9999,-9999,487,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,305,216,67,5,-7777,0,0,0,0,1,73,206,308,310,310,455,173,542,369,26,26,32,26
GHCND:USC00357466,ST HELENS RFD OR US,unknown,unknown,unknown,201004,296,164,71,24,14,5,1,-7777,-7777,179,150,15,58,133,343,735,974,164,71,24,14,5,1,-7777,-7777,2,20,77,179,230,311,457,-9999,-9999,-9999,-9999,-9999,-9999,356,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,263,130,38,5,-7777,0,0,0,-7777,29,145,286,300,300,498,194,595,401,23,26,30,23
GHCND:USC00357466,ST HELENS RFD OR US,unknown,unknown,unknown,201005,487,335,197,96,68,38,11,2,1,302,263,0,2,30,103,374,813,335,197,96,68,38,11,2,1,-7777,3,20,74,108,171,300,-9999,-9999,-9999,-9999,-9999,-9999,292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,306,220,101,30,4,0,0,0,1,8,68,245,305,310,557,212,663,451,25,35,38,21
GHCND:USC00357466,ST HELENS RFD OR US,82,45.84889,-122.87194,201006,630,480,332,193,146,89,32,9,5,404,356,0,0,16,62,91,200,480,332,193,146,89,32,9,5,0,-7777,2,13,25,59,152,-9999,-9999,-9999,-9999,-9999,-9999,198,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,300,300,277,165,54,9,0,0,0,0,1,10,139,288,300,610,216,718,502,22,30,33,17
GHCND:USC00357466,ST HELENS RFD OR US,82,45.84889,-122.87194,201007,820,665,510,355,295,209,98,35,21,559,501,0,0,0,0,0,0,665,510,355,295,209,98,35,21,0,0,-7777,1,2,10,53,-9999,-9999,-9999,-9999,-9999,-9999,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,310,310,307,251,133,30,0,0,0,0,0,1,53,269,308,665,237,783,546,28,34,43,17
GHCND:USC00357466,ST HELENS RFD OR US,82,45.84889,-122.87194,201008,843,688,533,379,318,230,109,38,23,583,525,0,0,0,0,3,46,688,533,379,318,230,109,38,23,0,0,0,1,1,6,41,-9999,-9999,-9999,-9999,-9999,-9999,92,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,310,310,310,265,149,36,0,0,0,0,0,3,47,265,307,672,249,796,548,17,26,24,18
GHCND:USC00357466,ST HELENS RFD OR US,82,45.84889,-122.87194,201009,666,516,366,225,176,114,42,9,4,439,391,0,0,0,0,8,149,516,366,225,176,114,42,9,4,0,-7777,1,9,20,48,126,-9999,-9999,-9999,-9999,-9999,-9999,179,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7777,300,299,283,192,77,12,0,0,0,0,0,13,129,294,300,622,234,739,505,26,33,37,22
GHCND:USC00357466,ST HELENS RFD OR US,82,45.84889,-122.87194,201010,385,238,115,41,25,10,1,-7777,-7777,220,184,0,0,12,129,491,861,238,115,41,25,10,1,-7777,-7777,1,8,40,121,168,246,392,-9999,-9999,-9999,-9999,-9999,-9999,365,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,292,163,46,6,0,0,0,0,0,7,87,261,310,310,524,176,612,436,22,30,29,24
