STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201001,170,68,18,3,1,-7777,0,0,0,108,82,22,140,428,751,943,996,68,18,3,1,-7777,0,0,0,14,66,171,311,372,464,618,514,0,996,0,1115,0,907,2,2,2,0,-7777,0,168,127,66,33,1,0,0,0,0,307,231,55,5,0,0,0,0,0,1,95,230,304,310,310,450,185,543,358,26,31,26,34
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201002,198,90,27,5,2,1,-7777,0,0,138,112,27,93,307,678,940,999,90,27,5,2,1,-7777,0,0,8,40,117,235,288,370,510,442,0,595,0,942,0,755,7,1,1,0,1,1,145,109,55,25,2,0,0,0,0,278,237,98,19,2,0,0,0,-7777,2,76,201,276,280,280,468,211,574,362,26,31,32,28
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201003,285,148,53,11,4,1,0,0,0,191,162,0,0,0,274,786,984,148,53,11,4,1,0,0,0,1,19,80,193,248,337,491,382,0,718,0,895,0,713,0,0,0,0,0,0,174,126,53,20,0,0,0,0,0,310,284,142,43,2,0,0,0,0,0,40,200,307,310,310,491,221,602,381,26,29,34,24
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201004,351,208,94,28,14,4,-7777,-7777,-7777,230,200,0,0,0,39,474,965,208,94,28,14,4,-7777,-7777,-7777,-7777,7,43,127,173,253,399,349,0,459,0,663,0,525,0,0,0,0,0,0,146,104,36,11,0,0,0,0,0,300,285,180,68,10,1,0,0,0,0,9,152,293,300,300,517,231,632,402,22,22,30,17
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201005,509,354,206,93,61,29,6,1,-7777,325,288,0,0,0,0,101,592,354,206,93,61,29,6,1,-7777,0,-7777,8,49,80,140,272,171,0,298,0,374,0,299,0,0,0,0,0,0,113,74,21,4,0,0,0,0,0,310,310,261,120,28,5,0,0,0,0,1,67,263,310,310,564,240,684,444,20,34,32,19
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201006,619,469,320,177,128,68,14,1,-7777,401,357,0,0,0,0,0,75,469,320,177,128,68,14,1,-7777,0,0,-7777,8,18,48,144,73,0,120,0,206,0,137,0,0,0,0,0,0,67,38,5,2,0,0,0,0,-7777,300,300,291,192,47,7,0,0,0,0,0,9,176,300,300,607,243,728,485,15,29,25,17
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201007,781,626,471,316,255,167,51,6,2,535,482,0,0,0,0,0,0,626,471,316,255,167,51,6,2,0,0,0,-7777,1,6,45,7,0,15,0,29,0,30,0,0,0,0,0,0,24,8,2,0,0,0,0,0,0,310,310,310,282,127,15,0,0,0,0,0,-7777,106,309,310,652,272,788,516,15,29,24,16
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201008,792,637,482,327,265,175,55,6,2,548,497,0,0,0,0,0,0,637,482,327,265,175,55,6,2,0,0,0,-7777,-7777,3,38,4,0,15,0,53,0,43,0,0,0,0,0,0,24,10,2,1,0,0,0,0,-7777,310,310,310,291,170,16,0,0,0,0,0,-7777,129,307,310,655,292,802,509,12,31,20,20
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201009,678,528,378,232,178,107,29,4,1,469,427,0,0,0,0,26,351,528,378,232,178,107,29,4,1,0,0,-7777,4,10,29,102,48,0,75,0,110,0,117,0,0,0,0,0,0,45,26,6,2,0,0,0,0,1,300,300,298,253,130,27,0,0,0,0,1,38,208,300,300,626,314,783,469,17,42,32,22
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201010,502,348,201,85,55,25,4,-7777,-7777,346,311,0,0,13,98,465,884,348,201,85,55,25,4,-7777,-7777,0,-7777,9,48,80,143,277,166,0,334,0,539,0,360,0,0,0,0,0,0,98,66,25,10,0,0,0,0,1,310,310,269,139,45,7,0,0,0,0,9,109,277,310,310,562,276,700,424,18,39,31,21
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201011,263,134,48,10,5,1,-7777,0,0,160,131,0,9,115,402,799,983,134,48,10,5,1,-7777,0,0,3,24,89,201,255,342,491,539,0,756,0,1256,0,876,0,0,0,0,0,0,170,128,62,30,0,0,0,0,0,300,271,113,15,0,0,0,0,0,0,47,169,283,300,300,487,192,583,390,24,31,28,30
GHCND:USC00356820,POWERS OR US,70.1,42.8886,-124.0688,201012,137,48,12,2,1,-7777,0,0,0,79,56,66,165,417,782,981,1000,48,12,2,1,-7777,0,0,0,21,87,205,350,411,504,659,586,0,1126,0,1454,0,1122,3,1,1,0,-7777,0,176,142,75,36,-7777,0,0,0,0,305,206,26,-7777,0,0,1,0,-7777,4,100,240,303,310,310,437,171,523,352,23,25,24,29
GHCND:USW00024284,NORTH BEND SOUTHWEST OREGON REGIONAL AIRPORT OR US,1.8,43.4133,-124.2436,201001,191,75,16,1,-7777,-7777,0,0,0,70,47,0,0,53,329,745,953,75,16,1,-7777,-7777,0,0,0,9,49,144,285,346,439,594,714,0,1003,0,1381,0,1019,-7777,1,0,0,0,0,198,158,71,32,0,0,0,0,0,306,192,17,0,0,0,0,0,0,0,26,153,295,310,310,458,113,515,402,24,20,22,29
GHCND:USW00024284,NORTH BEND SOUTHWEST OREGON REGIONAL AIRPORT OR US,1.8,43.4133,-124.2436,201002,187,77,18,2,1,-7777,0,0,0,76,53,1,9,70,297,702,954,77,18,2,1,-7777,0,0,0,6,36,118,241,296,380,519,433,0,678,0,1050,0,759,3,2,1,0,0,0,173,130,50,20,3,0,-7777,0,0,278,197,29,1,0,0,1,0,0,1,22,137,268,280,280,464,124,527,402,24,18,23,27
