STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201001,26,5,1,-7777,-7777,0,0,0,0,22,14,867,969,997,1000,1000,1000,5,1,-7777,-7777,0,0,0,0,209,343,494,648,710,803,958,53,0,115,12,162,25,112,20,14,12,0,4,1,82,34,3,-7777,-9999,-9999,-9999,-9999,0,206,67,5,0,0,0,32,4,21,81,238,297,309,310,310,341,174,428,254,43,28,39,50
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201002,49,14,2,-7777,-7777,0,0,0,0,49,36,776,934,997,1000,1000,1000,14,2,-7777,-7777,0,0,0,0,122,226,355,493,549,633,773,43,0,82,7,134,21,100,19,16,10,0,2,0,80,32,3,-7777,-9999,-9999,-9999,-9999,0,230,117,25,1,0,0,11,4,12,50,205,266,279,280,280,374,212,480,268,36,37,43,38
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201003,116,40,10,2,1,-7777,0,0,0,119,95,363,734,965,1000,1000,1000,40,10,2,1,-7777,0,0,0,46,124,249,395,456,549,704,58,0,81,0,101,5,87,6,6,3,0,0,0,85,34,1,0,-9999,-9999,-9999,-9999,0,302,215,82,12,-7777,0,0,0,0,31,188,281,306,310,310,423,248,547,299,25,37,34,28
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201004,215,111,44,12,7,2,-7777,-7777,-7777,195,168,175,524,879,991,1000,1000,111,44,12,7,2,-7777,-7777,-7777,16,62,144,263,317,403,551,46,0,75,0,119,5,87,2,3,1,0,0,0,73,26,3,-7777,-9999,-9999,-9999,-9999,0,299,262,143,65,11,0,0,0,0,11,144,249,299,300,300,466,283,608,325,27,34,37,27
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201005,430,283,161,78,56,31,8,1,1,321,287,0,28,286,736,968,1000,283,161,78,56,31,8,1,1,1,9,41,114,154,222,354,53,0,94,0,152,0,117,0,0,0,0,0,0,74,33,6,1,-9999,-9999,-9999,-9999,0,310,307,239,126,51,8,0,0,0,0,58,177,284,310,310,539,293,685,392,23,33,36,17
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201006,609,459,313,183,139,85,28,6,3,431,394,0,0,17,116,451,876,459,313,183,139,85,28,6,3,0,-7777,4,24,39,75,169,29,0,75,0,164,0,92,0,0,0,0,0,0,54,27,4,2,-9999,-9999,-9999,-9999,-7777,300,299,290,221,107,25,0,0,0,0,6,89,240,297,300,603,321,764,442,23,29,34,16
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201007,834,679,524,370,310,226,108,35,19,575,531,0,0,0,0,19,339,679,524,370,310,226,108,35,19,0,0,-7777,1,4,12,49,3,0,19,0,60,0,56,0,0,0,0,0,0,30,14,4,2,-9999,-9999,-9999,-9999,8,310,310,310,300,239,105,0,0,0,0,-7777,27,204,297,310,669,380,859,479,27,36,41,21
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201008,806,651,496,342,283,199,88,26,13,564,522,0,0,0,2,94,462,651,496,342,283,199,88,26,13,0,0,-7777,1,4,13,57,11,0,19,0,39,0,34,0,0,0,0,0,0,27,13,1,0,-9999,-9999,-9999,-9999,5,310,310,310,296,233,97,0,0,0,0,1,51,218,303,310,660,388,854,466,18,35,27,24
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201009,570,421,281,160,120,72,22,3,1,439,405,0,0,79,453,859,990,421,281,160,120,72,22,3,1,-7777,1,11,40,61,103,202,7,0,22,0,50,0,38,0,0,0,0,0,0,34,13,1,0,-9999,-9999,-9999,-9999,1,300,300,284,230,131,38,0,0,0,0,37,144,275,300,300,590,378,779,401,28,38,44,21
GHCND:USC00356883,PRINEVILLE OR US,888.5,44.3023,-120.808,201010,296,170,78,27,15,5,1,-7777,-7777,266,235,168,521,889,997,1000,1000,170,78,27,15,5,1,-7777,-7777,10,39,101,205,256,339,489,47,0,76,0,120,0,83,-7777,1,-7777,0,0,0,60,26,4,-7777,-9999,-9999,-9999,-9999,0,307,288,207,102,27,2,0,0,0,13,136,248,303,310,310,493,313,649,336,23,42,39,22
