STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201001,264,128,40,7,3,-7777,0,0,0,137,105,0,0,94,381,761,954,128,40,7,3,-7777,0,0,0,2,21,88,210,268,358,513,722,0,1188,0,1543,0,1125,0,0,0,0,0,0,197,147,79,34,0,0,0,0,0,310,279,77,3,1,0,0,0,0,0,27,151,283,310,310,484,159,564,405,23,28,23,31
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201002,242,112,25,2,1,-7777,0,0,0,127,99,0,12,57,257,677,952,112,25,2,1,-7777,0,0,0,-7777,10,63,180,234,318,458,517,0,768,0,1159,0,900,0,0,0,0,0,0,164,121,62,30,0,0,0,0,0,280,261,62,4,0,0,0,0,0,0,11,143,275,280,280,487,165,569,404,25,24,27,29
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201003,290,143,40,5,2,-7777,0,0,0,152,120,0,0,0,27,395,869,143,40,5,2,-7777,0,0,0,-7777,8,61,181,239,331,485,625,0,767,0,1081,0,855,0,0,0,0,0,0,194,142,63,25,0,0,0,0,0,310,293,90,7,0,0,0,0,0,0,9,129,297,310,310,494,165,576,411,18,17,18,22
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201004,340,192,67,10,4,1,0,0,0,181,149,0,0,0,0,136,667,192,67,10,4,1,0,0,0,0,1,27,119,173,260,410,387,0,495,0,743,0,594,0,0,0,0,0,0,160,114,37,12,0,0,0,0,0,300,293,129,10,1,0,0,0,0,0,1,77,282,300,300,514,169,598,429,19,18,24,19
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201005,462,307,155,42,21,6,1,0,0,261,223,0,0,0,0,2,262,307,155,42,21,6,1,0,0,0,0,3,46,86,164,314,183,0,331,0,596,0,393,0,0,0,0,0,0,124,74,22,8,0,0,0,0,0,310,310,254,30,3,0,0,0,0,0,0,32,255,309,310,549,181,640,458,16,19,22,15
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201006,535,386,236,93,48,11,-7777,0,0,310,263,0,0,0,0,0,0,386,236,93,48,11,-7777,0,0,0,0,-7777,8,23,75,215,106,0,215,0,315,0,209,0,0,0,0,0,0,77,46,14,4,0,0,0,0,0,300,300,291,42,1,0,0,0,0,0,0,3,163,300,300,579,166,662,495,13,18,15,16
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201007,665,510,355,200,139,58,3,-7777,0,419,362,0,0,0,0,0,0,510,355,200,139,58,3,-7777,0,0,0,0,-7777,1,13,113,10,0,20,0,54,0,46,0,0,0,0,0,0,36,12,1,-7777,0,0,0,0,0,310,310,309,168,1,0,0,0,0,0,0,0,63,307,310,614,174,702,527,12,12,14,13
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201008,674,519,364,209,148,65,4,-7777,0,432,378,0,0,0,0,0,0,519,364,209,148,65,4,-7777,0,0,0,0,-7777,1,11,105,2,0,10,0,112,0,59,0,0,0,0,0,0,33,13,4,1,0,0,0,0,0,310,310,310,226,4,0,0,0,0,0,0,0,103,309,310,617,198,717,518,12,19,14,16
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201009,607,457,307,160,106,43,3,-7777,0,383,336,0,0,0,0,0,4,457,307,160,106,43,3,-7777,0,0,0,-7777,2,9,35,146,26,0,99,0,185,0,139,0,0,0,0,0,0,53,28,8,2,0,0,0,0,0,300,300,298,170,10,1,0,0,0,0,0,1,159,296,300,603,210,708,497,14,17,15,17
GHCND:USC00354721,LANGLOIS NUMBER 2 OR US,27.4,42.9242,-124.4533,201010,488,334,183,65,37,14,2,-7777,-7777,292,252,0,0,0,2,49,385,334,183,65,37,14,2,-7777,-7777,0,-7777,5,42,75,146,288,207,0,386,0,683,0,429,0,0,0,0,0,0,112,68,27,14,0,0,0,0,0,310,310,259,54,6,0,0,0,0,0,1,45,234,309,310,557,194,655,460,10,21,9,18
