STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201001,27,5,-7777,0,0,0,0,0,0,11,6,573,794,945,996,1000,1000,5,-7777,0,0,0,0,0,0,181,314,464,618,680,773,928,73,0,136,0,201,20,139,15,13,7,0,1,1,100,46,5,0,22,0,9,3,0,168,37,-7777,0,0,0,41,1,8,32,183,293,310,310,310,351,109,405,296,37,22,41,36
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201002,51,12,1,-7777,0,0,0,0,0,29,18,387,619,869,990,1000,1000,12,1,-7777,0,0,0,0,0,96,196,326,465,521,605,745,59,0,92,0,124,10,98,16,7,6,0,2,1,75,33,2,-7777,8,0,4,2,0,234,92,5,0,0,0,13,2,6,21,151,253,280,280,280,384,157,463,305,37,26,38,40
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201003,206,89,24,4,2,-7777,-7777,0,0,132,104,24,112,435,835,982,1000,89,24,4,2,-7777,-7777,0,0,13,50,140,275,335,427,581,43,0,72,0,108,0,79,1,1,1,0,0,0,76,30,1,0,1,0,-7777,-7777,0,306,264,80,5,0,0,1,0,0,2,77,215,307,310,310,463,197,561,364,22,24,28,23
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201004,393,248,126,48,30,13,3,-7777,-7777,250,216,0,0,48,273,678,965,248,126,48,30,13,3,-7777,-7777,-7777,5,33,105,147,220,360,21,0,53,0,70,0,65,0,0,0,0,0,0,55,15,3,-7777,0,0,0,0,0,300,298,206,66,7,0,0,0,0,0,18,111,269,299,300,531,220,641,421,24,18,27,24
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201005,667,511,358,218,170,111,49,18,11,440,392,0,0,0,0,73,385,511,358,218,170,111,49,18,11,0,0,1,16,31,65,157,36,0,68,0,96,0,69,0,0,0,0,0,0,57,22,1,0,0,0,0,0,2,310,310,297,181,68,16,0,0,0,0,1,22,160,289,310,615,234,732,498,22,26,30,20
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201006,850,701,551,401,342,256,136,58,38,590,533,0,0,0,0,0,0,701,551,401,342,256,136,58,38,0,0,-7777,-7777,1,6,35,10,0,29,0,82,0,48,0,0,0,0,0,0,30,14,1,-7777,0,0,0,0,5,300,300,300,268,147,45,0,0,0,0,0,1,39,224,298,684,243,805,562,24,24,34,18
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201007,1111,956,801,646,584,491,339,204,157,778,716,0,0,0,0,0,0,956,801,646,584,491,339,204,157,0,0,0,-7777,-7777,-7777,3,0,0,8,0,19,0,12,0,0,0,0,0,0,13,4,0,0,0,0,0,0,35,310,310,310,309,264,156,0,0,0,0,0,0,5,112,276,759,273,895,622,31,24,38,27
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201008,1083,928,773,618,556,464,312,176,131,762,701,0,0,0,0,0,0,928,773,618,556,464,312,176,131,0,0,0,0,-7777,-7777,4,2,0,12,0,32,0,22,0,0,0,0,0,0,17,6,1,-7777,0,0,0,0,21,310,310,310,309,265,140,0,0,0,0,0,0,10,135,285,749,276,888,611,22,26,26,24
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201009,772,622,473,327,272,195,94,33,19,535,485,0,0,0,0,31,188,622,473,327,272,195,94,33,19,-7777,-7777,-7777,5,9,23,72,5,0,22,0,66,0,44,0,0,0,0,0,0,27,12,2,-7777,0,0,0,0,-7777,300,300,299,257,141,26,0,0,0,0,1,14,108,260,299,657,267,791,524,25,28,32,24
GHCND:USC00350265,ARLINGTON OR US,84.4,45.7212,-120.2064,201010,416,271,146,61,41,20,4,-7777,-7777,271,235,9,45,158,464,835,984,271,146,61,41,20,4,-7777,-7777,3,12,42,113,154,226,365,37,0,58,0,85,0,68,1,-7777,-7777,0,0,0,52,22,2,-7777,0,0,0,0,0,310,303,225,71,7,0,0,0,0,1,27,115,262,309,310,533,223,645,422,19,25,24,22
