STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201001,17,4,1,0,0,0,0,0,0,22,15,-9999,-9999,-9999,-9999,-9999,-9999,4,1,0,0,0,0,0,0,234,376,528,682,744,837,992,-9999,-9999,-9999,-9999,-9999,-9999,138,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,207,65,6,0,0,0,31,5,31,101,269,307,310,310,310,330,206,433,227,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201002,40,9,1,-7777,-7777,0,0,0,0,58,42,-9999,-9999,-9999,-9999,-9999,-9999,9,1,-7777,-7777,0,0,0,0,117,226,358,497,553,637,777,-9999,-9999,-9999,-9999,-9999,-9999,117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,245,146,21,1,0,0,10,5,13,64,225,274,280,280,280,373,245,495,250,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201003,153,60,16,3,1,-7777,0,0,0,162,135,-9999,-9999,-9999,-9999,-9999,-9999,60,16,3,1,-7777,0,0,0,29,90,200,342,403,495,650,-9999,-9999,-9999,-9999,-9999,-9999,146,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,307,257,120,27,1,0,0,0,0,16,197,292,309,310,310,441,279,580,301,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201004,301,174,82,29,18,7,1,-7777,-7777,259,229,-9999,-9999,-9999,-9999,-9999,-9999,174,82,29,18,7,1,-7777,-7777,4,27,85,182,230,310,454,-9999,-9999,-9999,-9999,-9999,-9999,144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,287,195,99,32,1,0,0,0,1,102,241,298,300,300,499,306,652,346,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201005,541,388,246,134,100,61,24,6,3,392,357,-9999,-9999,-9999,-9999,-9999,-9999,388,246,134,100,61,24,6,3,-7777,2,15,58,86,141,258,-9999,-9999,-9999,-9999,-9999,-9999,175,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,310,309,279,183,84,27,0,0,0,0,23,132,281,310,310,575,321,735,414,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201006,726,576,427,283,231,161,74,24,13,496,455,-9999,-9999,-9999,-9999,-9999,-9999,576,427,283,231,161,74,24,13,0,-7777,1,7,15,35,98,-9999,-9999,-9999,-9999,-9999,-9999,135,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,300,300,295,252,173,66,0,0,0,0,1,35,205,295,300,642,340,812,472,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201007,979,824,669,515,453,362,220,105,70,628,577,-9999,-9999,-9999,-9999,-9999,-9999,824,669,515,453,362,220,105,70,0,0,0,-7777,1,3,16,-9999,-9999,-9999,-9999,-9999,-9999,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,57,310,310,310,305,276,198,0,0,0,0,0,3,132,288,310,716,404,918,514,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201008,959,804,649,495,433,342,199,87,56,620,573,-9999,-9999,-9999,-9999,-9999,-9999,804,649,495,433,342,199,87,56,0,0,-7777,-7777,1,3,15,-9999,-9999,-9999,-9999,-9999,-9999,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,310,310,310,307,288,197,0,0,0,0,-7777,13,165,297,310,710,425,922,497,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201009,664,515,369,235,188,127,51,13,6,484,451,-9999,-9999,-9999,-9999,-9999,-9999,515,369,235,188,127,51,13,6,-7777,1,5,21,34,63,137,-9999,-9999,-9999,-9999,-9999,-9999,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,300,300,294,258,184,86,0,0,0,0,19,123,269,299,300,622,409,826,417,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201010,321,188,88,32,19,8,1,-7777,-7777,303,273,-9999,-9999,-9999,-9999,-9999,-9999,188,88,32,19,8,1,-7777,-7777,7,28,83,182,232,314,461,-9999,-9999,-9999,-9999,-9999,-9999,108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,309,298,242,128,36,5,0,0,-7777,6,141,261,309,310,310,502,349,676,327,-9999,-9999,-9999,-9999
