STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201001,1,0,0,0,0,0,0,0,0,2,1,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,419,573,728,883,945,1038,1193,-9999,-9999,-9999,-9999,-9999,-9999,101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,88,6,0,0,0,0,102,13,66,181,297,310,310,310,310,265,184,357,173,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201002,2,-7777,-7777,0,0,0,0,0,0,7,4,-9999,-9999,-9999,-9999,-9999,-9999,-7777,-7777,0,0,0,0,0,0,268,406,546,686,742,826,966,-9999,-9999,-9999,-9999,-9999,-9999,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,163,29,0,0,0,0,34,0,23,140,271,279,280,280,280,305,210,410,200,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201003,48,14,2,-7777,-7777,0,0,0,0,66,51,-9999,-9999,-9999,-9999,-9999,-9999,14,2,-7777,-7777,0,0,0,0,125,245,388,541,603,696,851,-9999,-9999,-9999,-9999,-9999,-9999,104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,253,139,37,4,0,0,6,0,0,50,263,306,310,310,310,376,233,492,259,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201004,117,46,15,4,2,1,-7777,0,0,131,108,-9999,-9999,-9999,-9999,-9999,-9999,46,15,4,2,1,-7777,0,0,50,128,247,387,444,533,682,-9999,-9999,-9999,-9999,-9999,-9999,115,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,290,217,91,26,3,0,0,0,1,23,206,294,300,300,300,423,271,558,287,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201005,315,183,87,35,22,9,1,-7777,0,258,228,-9999,-9999,-9999,-9999,-9999,-9999,183,87,35,22,9,1,-7777,0,7,30,89,192,241,321,468,-9999,-9999,-9999,-9999,-9999,-9999,137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,294,205,91,19,0,0,0,0,9,104,226,304,310,310,500,291,645,354,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201006,554,405,265,149,109,62,17,2,1,399,363,-9999,-9999,-9999,-9999,-9999,-9999,405,265,149,109,62,17,2,1,-7777,1,12,45,65,108,214,-9999,-9999,-9999,-9999,-9999,-9999,78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,300,283,205,78,4,0,0,0,0,14,100,255,300,300,585,311,740,429,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201007,865,711,556,403,342,255,129,45,26,613,562,-9999,-9999,-9999,-9999,-9999,-9999,711,556,403,342,255,129,45,26,0,0,-7777,2,3,9,38,-9999,-9999,-9999,-9999,-9999,-9999,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,310,310,304,251,62,0,0,0,0,3,16,127,278,310,680,339,849,510,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201008,793,638,484,335,279,198,86,23,12,561,515,-9999,-9999,-9999,-9999,-9999,-9999,638,484,335,279,198,86,23,12,0,-7777,1,7,12,24,68,-9999,-9999,-9999,-9999,-9999,-9999,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,310,306,289,217,56,0,0,0,0,5,28,184,300,310,656,346,829,483,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201009,516,372,240,135,102,60,16,2,1,405,372,-9999,-9999,-9999,-9999,-9999,-9999,372,240,135,102,60,16,2,1,2,8,26,71,98,145,252,-9999,-9999,-9999,-9999,-9999,-9999,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,295,282,207,95,5,0,0,0,0,54,154,280,300,300,572,353,748,395,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201010,219,117,46,15,9,3,-7777,0,0,219,192,-9999,-9999,-9999,-9999,-9999,-9999,117,46,15,9,3,-7777,0,0,27,79,164,288,343,431,583,-9999,-9999,-9999,-9999,-9999,-9999,87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,305,259,176,63,11,0,0,0,1,20,174,276,310,310,310,462,308,616,308,-9999,-9999,-9999,-9999
