STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.6847,-121.5175,201001,30,5,-7777,0,0,0,0,0,0,13,8,417,602,807,966,1000,1000,5,-7777,0,0,0,0,0,0,145,275,425,580,642,735,890,387,7,542,29,680,105,532,76,40,21,1,9,4,187,110,36,10,78,9,54,30,0,192,45,1,0,0,0,27,-7777,5,23,169,292,310,310,310,363,116,421,305,33,25,35,34
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.6847,-121.5175,201002,49,9,1,-7777,-7777,0,0,0,0,34,22,307,483,763,961,998,1000,9,1,-7777,-7777,0,0,0,0,75,176,307,447,502,587,727,230,0,363,19,487,82,393,66,26,14,1,7,3,149,88,23,8,37,4,23,13,0,238,104,7,0,0,0,10,2,4,16,149,258,280,280,280,390,163,472,309,32,31,37,35
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.6847,-121.5175,201003,170,65,16,3,1,-7777,-7777,0,0,115,91,20,68,276,792,983,1000,65,16,3,1,-7777,-7777,0,0,14,64,170,311,372,464,619,201,0,275,0,374,0,301,8,6,3,0,1,0,155,84,16,2,6,0,3,-7777,0,305,235,68,8,0,0,1,0,0,1,92,246,309,310,310,451,197,549,352,23,24,30,21
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.6847,-121.5175,201004,306,170,74,26,15,6,1,-7777,-7777,202,172,0,0,46,290,816,999,170,74,26,15,6,1,-7777,-7777,1,15,70,171,220,302,446,117,0,155,0,231,0,176,0,0,0,0,0,0,127,57,6,-7777,0,0,0,0,0,300,284,143,51,7,0,0,0,0,0,32,170,293,300,300,502,223,613,390,22,25,28,22
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.6847,-121.5175,201005,525,371,228,117,86,51,17,4,2,339,300,0,0,0,19,292,776,371,228,117,86,51,17,4,2,-7777,1,12,57,87,146,267,71,0,115,0,174,0,130,0,0,0,0,0,0,93,41,4,0,0,0,0,0,-7777,310,309,253,126,47,6,0,0,0,0,2,67,242,309,310,569,237,688,451,21,32,32,19
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.68472,-121.5175,201006,674,524,374,231,180,117,47,14,8,441,393,0,0,0,0,0,81,524,374,231,180,117,47,14,8,0,-7777,-7777,7,17,44,124,35,0,74,0,125,0,87,0,0,0,0,0,0,62,25,3,1,0,0,0,0,1,300,300,292,188,78,20,0,0,0,0,0,6,139,292,300,625,239,744,505,21,25,31,16
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.68472,-121.5175,201007,876,721,566,411,350,262,138,55,35,599,542,0,0,0,0,0,0,721,566,411,350,262,138,55,35,0,0,0,-7777,2,7,37,1,0,16,0,39,0,28,0,0,0,0,0,0,22,10,-7777,0,0,0,0,0,9,310,310,310,278,171,65,0,0,0,0,0,-7777,55,268,309,683,272,818,547,25,34,39,19
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.68472,-121.5175,201008,866,711,556,402,340,252,128,48,29,593,538,0,0,0,0,0,0,711,556,402,340,252,128,48,29,0,0,0,-7777,1,5,36,0,0,12,0,49,0,31,0,0,0,0,0,0,22,9,1,0,0,0,0,0,7,310,310,310,291,182,64,0,0,0,0,0,-7777,85,276,310,679,289,824,535,15,24,22,16
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.68472,-121.5175,201009,634,485,337,201,154,96,32,6,2,438,398,0,0,0,35,202,639,485,337,201,154,96,32,6,2,-7777,-7777,3,17,30,62,148,16,0,53,0,131,0,92,0,0,0,0,0,0,46,21,5,1,0,0,0,0,-7777,300,300,293,214,105,19,0,0,0,0,5,51,218,298,300,612,301,762,461,22,36,35,21
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.68472,-121.5175,201010,340,199,89,30,17,6,-7777,-7777,0,249,217,7,58,250,669,957,999,199,89,30,17,6,-7777,-7777,0,3,16,61,157,206,288,438,111,0,194,0,298,0,229,1,-7777,-7777,0,0,0,107,54,12,3,-7777,0,0,0,0,310,296,213,65,12,0,0,0,0,1,62,187,299,310,310,509,258,638,380,20,34,29,24
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.68472,-121.5175,201011,106,36,9,1,-7777,-7777,0,0,0,58,41,121,262,537,847,988,1000,36,9,1,-7777,-7777,0,0,0,50,129,252,394,453,543,693,307,0,504,0,637,15,539,21,14,7,-7777,2,1,196,119,35,11,12,1,8,4,0,273,147,21,0,0,0,6,-7777,2,10,107,242,296,300,300,419,154,496,342,32,29,33,37
GHCND:USC00354003,HOOD RIVER EXPERIMENT STATION OR US,152.4,45.68472,-121.5175,201012,20,3,-7777,-7777,-7777,0,0,0,0,8,4,353,550,822,972,1000,1000,3,-7777,-7777,-7777,0,0,0,0,174,312,464,618,680,773,928,352,12,554,50,818,85,591,71,43,26,0,10,4,183,115,41,11,63,7,34,24,0,171,27,1,0,0,0,37,-7777,11,24,177,298,310,310,310,351,107,404,297,36,20,35,39
GHCND:USC00356466,PARKDALE 1 NNE OR US,463.3,45.535,-121.58944,201001,24,5,-7777,0,0,0,0,0,0,19,12,661,860,982,1000,1000,1000,5,-7777,0,0,0,0,0,0,178,313,464,618,680,773,928,435,45,556,80,766,267,574,156,58,44,2,20,8,165,115,40,11,171,48,138,100,0,193,51,4,0,0,0,33,-7777,8,38,233,303,310,310,310,351,149,425,276,33,25,37,33
GHCND:USC00356466,PARKDALE 1 NNE OR US,463.3,45.535,-121.58944,201002,31,5,1,0,0,0,0,0,0,30,20,516,764,955,999,1000,1000,5,1,0,0,0,0,0,0,104,218,353,493,549,633,773,260,20,348,97,522,160,404,107,42,29,1,12,5,129,85,24,8,111,11,77,47,0,233,90,10,0,0,0,11,1,8,27,197,271,280,280,280,374,182,465,283,30,29,35,32
GHCND:USC00356466,PARKDALE 1 NNE OR US,463.3,45.535,-121.58944,201003,117,37,8,1,-7777,-7777,0,0,0,101,79,110,356,814,992,1000,1000,37,8,1,-7777,-7777,0,0,0,29,103,229,378,439,532,687,207,0,279,11,385,67,309,39,20,13,-7777,3,1,146,90,16,3,25,1,9,4,0,305,211,59,7,0,0,1,0,-7777,5,161,285,310,310,310,429,220,538,319,22,23,29,19
GHCND:USC00356466,PARKDALE 1 NNE OR US,463.3,45.535,-121.58944,201004,227,109,38,10,5,2,-7777,-7777,-7777,179,150,0,19,359,875,999,1000,109,38,10,5,2,-7777,-7777,-7777,4,36,115,236,292,378,526,146,0,200,0,270,15,210,8,5,3,0,1,-7777,123,63,10,2,3,0,1,-7777,0,300,271,133,38,3,0,0,0,0,0,97,241,298,300,300,474,247,598,351,21,25,28,19
GHCND:USC00356466,PARKDALE 1 NNE OR US,463.3,45.535,-121.58944,201005,425,274,148,64,43,22,4,1,-7777,298,264,0,0,27,348,849,995,274,148,64,43,22,4,1,-7777,-7777,5,34,105,146,217,355,76,0,119,0,201,0,143,0,0,0,0,0,0,95,45,7,0,0,0,0,0,0,310,308,232,110,32,3,0,0,0,0,31,148,292,310,310,537,267,670,404,21,27,31,17
GHCND:USC00356466,PARKDALE 1 NNE OR US,463.3,45.535,-121.58944,201006,575,425,277,149,108,61,18,4,2,392,354,0,0,0,14,215,752,425,277,149,108,61,18,4,2,0,-7777,3,24,44,87,193,53,0,86,0,139,0,109,0,0,0,0,0,0,64,27,5,2,0,0,0,0,0,300,300,283,182,76,9,0,0,0,0,3,62,234,299,300,591,283,733,450,21,24,29,17
GHCND:USC00356466,PARKDALE 1 NNE OR US,463.3,45.535,-121.58944,201007,776,621,466,314,255,175,73,20,10,531,485,0,0,0,0,0,110,621,466,314,255,175,73,20,10,0,0,-7777,2,6,18,71,6,0,19,0,51,0,33,0,0,0,0,0,0,22,11,2,0,0,0,0,0,1,310,310,310,270,179,53,0,0,0,0,0,14,179,304,310,651,325,813,488,24,33,38,17
