STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201001,20,4,-7777,0,0,0,0,0,0,14,8,-9999,-9999,-9999,-9999,-9999,-9999,4,-7777,0,0,0,0,0,0,242,380,532,687,749,842,997,74,0,161,8,217,24,156,21,21,11,0,4,1,111,55,7,1,-9999,-9999,-9999,-9999,0,170,45,1,0,0,0,53,2,14,71,249,304,310,310,310,328,154,405,252,34,19,36,35
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201002,31,8,1,-7777,-7777,0,0,0,0,27,19,-9999,-9999,-9999,-9999,-9999,-9999,8,1,-7777,-7777,0,0,0,0,162,279,413,552,607,691,831,53,0,97,8,148,29,109,19,18,8,0,2,1,100,41,3,0,-9999,-9999,-9999,-9999,0,210,75,9,0,0,0,22,4,13,53,221,270,280,280,280,353,190,448,258,38,25,41,38
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201003,90,31,8,1,-7777,-7777,0,0,0,82,63,-9999,-9999,-9999,-9999,-9999,-9999,31,8,1,-7777,-7777,0,0,0,68,163,294,443,504,597,752,87,0,113,0,161,10,131,8,7,3,0,-7777,0,101,46,2,0,-9999,-9999,-9999,-9999,0,294,177,45,4,0,0,1,0,0,16,199,295,309,310,310,407,220,518,297,25,28,32,25
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201004,178,89,37,12,7,2,-7777,-7777,-7777,151,126,-9999,-9999,-9999,-9999,-9999,-9999,89,37,12,7,2,-7777,-7777,-7777,25,86,184,309,363,449,597,77,0,129,0,176,0,130,7,2,1,0,1,1,91,42,5,1,-9999,-9999,-9999,-9999,0,298,236,112,36,3,0,0,0,0,5,146,258,299,300,300,451,252,577,325,28,26,34,28
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201005,385,247,138,66,48,28,8,1,1,287,254,-9999,-9999,-9999,-9999,-9999,-9999,247,138,66,48,28,8,1,1,3,19,65,148,192,265,401,85,0,121,0,187,0,154,0,0,0,0,0,0,92,46,8,2,-9999,-9999,-9999,-9999,0,310,303,220,105,35,4,0,0,0,0,60,182,291,310,310,523,278,663,384,26,32,36,24
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201006,573,424,283,165,127,80,31,9,5,402,366,-9999,-9999,-9999,-9999,-9999,-9999,424,283,165,127,80,31,9,5,-7777,1,10,42,64,107,208,55,0,83,0,174,0,112,0,0,0,0,0,0,65,34,5,1,-9999,-9999,-9999,-9999,0,300,299,280,197,83,12,0,0,0,0,6,85,239,297,300,591,299,741,441,27,22,36,22
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201007,844,690,535,384,327,246,132,54,34,582,534,-9999,-9999,-9999,-9999,-9999,-9999,690,535,384,327,246,132,54,34,0,-7777,-7777,4,9,22,62,9,0,22,0,48,0,35,0,0,0,0,0,0,30,12,1,0,-9999,-9999,-9999,-9999,5,310,310,309,288,219,91,0,0,0,0,0,24,164,286,308,672,345,845,500,41,29,47,39
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201008,830,676,521,369,311,229,117,46,28,574,527,-9999,-9999,-9999,-9999,-9999,-9999,676,521,369,311,229,117,46,28,0,0,-7777,3,7,19,62,9,0,22,0,63,0,39,0,0,0,0,0,0,30,12,-7777,0,-9999,-9999,-9999,-9999,4,310,310,309,293,221,81,0,0,0,0,0,18,169,291,310,668,348,842,494,23,22,27,24
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201009,581,433,295,176,136,88,32,7,3,417,381,-9999,-9999,-9999,-9999,-9999,-9999,433,295,176,136,88,32,7,3,-7777,3,14,46,66,107,202,17,0,39,0,79,0,71,0,0,0,0,0,0,41,18,3,1,-9999,-9999,-9999,-9999,-7777,300,299,278,207,112,23,0,0,0,0,16,96,256,300,300,593,325,756,431,31,28,42,24
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201010,287,166,82,33,21,9,1,-7777,-7777,227,198,-9999,-9999,-9999,-9999,-9999,-9999,166,82,33,21,9,1,-7777,-7777,15,48,119,225,275,356,503,72,0,88,0,165,0,109,1,1,-7777,0,-7777,0,69,34,5,0,-9999,-9999,-9999,-9999,0,307,276,176,70,15,0,0,0,-7777,3,97,227,306,310,310,488,269,623,353,28,27,36,25
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201011,70,25,7,1,1,-7777,0,0,0,52,39,-9999,-9999,-9999,-9999,-9999,-9999,25,7,1,1,-7777,0,0,0,119,223,354,499,558,648,798,104,0,160,3,248,20,184,15,10,6,0,1,-7777,118,56,5,1,-9999,-9999,-9999,-9999,0,246,115,31,1,0,0,11,2,7,33,197,279,299,300,300,384,186,477,291,38,30,42,41
GHCND:USC00350197,ANTELOPE OR US,923.5,44.8197,-120.7533,201012,15,3,-7777,0,0,0,0,0,0,10,6,-9999,-9999,-9999,-9999,-9999,-9999,3,-7777,0,0,0,0,0,0,288,430,583,738,800,893,1048,80,2,139,20,265,89,189,45,26,18,0,4,1,108,56,6,-7777,-9999,-9999,-9999,-9999,0,153,34,1,0,0,0,62,7,21,93,262,305,309,310,310,312,154,389,235,35,23,35,39
GHCND:USC00355139,MADRAS OR US,679.7,44.6166,-121.001,201001,25,6,1,-7777,-7777,0,0,0,0,23,15,961,994,1000,1000,1000,1000,6,1,-7777,-7777,0,0,0,0,255,392,542,696,758,851,1006,47,0,145,0,183,20,130,23,9,7,-7777,3,1,82,41,4,0,25,-7777,16,10,0,178,66,7,0,0,0,46,4,29,114,256,303,310,310,310,325,185,418,233,37,36,42,40
GHCND:USC00355139,MADRAS OR US,679.7,44.6166,-121.001,201002,36,12,3,-7777,-7777,-7777,0,0,0,38,27,895,986,999,1000,1000,1000,12,3,-7777,-7777,-7777,0,0,0,165,280,411,549,605,689,829,52,0,79,0,122,25,96,19,7,5,-7777,2,-7777,78,30,3,0,12,2,7,2,0,222,95,13,-7777,0,0,15,7,20,84,221,268,280,280,280,354,220,464,244,42,37,44,48
GHCND:USC00355139,MADRAS OR US,679.7,44.6166,-121.001,201003,98,34,9,2,1,-7777,0,0,0,111,87,635,891,994,1000,1000,1000,34,9,2,1,-7777,0,0,0,63,154,284,432,492,585,739,43,0,66,0,107,0,81,1,1,-7777,0,0,0,71,30,-7777,0,-7777,0,0,0,0,302,222,74,7,0,0,-7777,0,2,54,210,286,308,310,310,411,264,543,280,25,32,31,29
GHCND:USC00355139,MADRAS OR US,679.7,44.6166,-121.001,201004,191,96,38,12,6,2,-7777,-7777,-7777,192,164,358,754,953,998,1000,1000,96,38,12,6,2,-7777,-7777,-7777,22,77,168,292,347,433,581,43,0,99,0,128,0,92,1,1,-7777,0,0,0,67,31,1,0,-7777,0,0,0,0,300,260,146,57,7,0,0,0,0,23,178,263,298,300,300,456,299,606,307,28,24,34,28
GHCND:USC00355139,MADRAS OR US,679.7,44.6166,-121.001,201005,395,252,138,66,47,26,8,1,1,320,287,9,146,528,892,997,1000,252,138,66,47,26,8,1,1,1,13,55,137,180,252,389,31,0,91,0,125,0,101,0,0,0,0,0,0,70,36,3,-7777,0,0,0,0,0,310,307,243,129,47,8,0,0,0,2,87,203,298,310,310,527,317,686,368,25,36,39,18
