STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201001,79,21,3,-7777,-7777,-7777,0,0,0,28,17,57,224,496,773,953,997,21,3,-7777,-7777,-7777,0,0,0,52,149,287,439,501,594,749,254,0,443,0,611,0,477,4,4,2,0,-7777,0,167,97,32,10,2,0,-7777,0,0,265,91,4,0,0,0,-7777,0,0,3,93,244,309,310,310,409,115,466,351,27,29,20,38
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201002,137,51,12,2,1,-7777,0,0,0,81,61,26,148,426,752,937,996,51,12,2,1,-7777,0,0,0,16,71,171,301,356,440,580,184,0,315,0,526,0,395,1,2,1,0,0,0,142,84,28,7,0,0,0,0,0,273,181,46,2,0,0,0,0,0,2,79,205,276,280,280,443,172,529,357,25,36,27,34
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201003,254,126,42,8,3,1,0,0,0,172,144,0,8,152,569,924,996,126,42,8,3,1,0,0,0,4,32,103,224,281,371,525,230,0,291,0,404,0,338,1,1,0,0,0,0,156,82,18,5,-7777,0,0,0,0,309,263,131,31,-7777,0,0,0,0,-7777,65,208,307,310,310,481,215,588,373,26,35,34,28
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201004,365,225,115,47,30,13,2,-7777,-7777,249,218,0,0,0,246,707,970,225,115,47,30,13,2,-7777,-7777,1,10,51,133,176,249,388,107,0,187,0,330,0,212,-7777,-7777,0,0,0,0,124,61,11,2,0,0,0,0,0,300,284,186,87,24,0,0,0,0,0,22,150,288,300,300,522,245,644,399,26,31,36,23
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201005,583,428,280,157,118,73,28,8,4,389,350,0,0,0,12,220,723,428,280,157,118,73,28,8,4,0,-7777,7,39,62,110,220,61,0,95,0,182,0,136,0,0,0,0,0,0,87,43,4,1,0,0,0,0,-7777,310,310,278,170,72,19,0,0,0,0,4,68,240,308,310,588,272,724,452,23,37,36,19
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201006,752,602,452,305,251,177,83,28,16,510,463,0,0,0,0,6,137,602,452,305,251,177,83,28,16,0,-7777,-7777,4,9,25,81,19,0,45,0,112,0,68,0,0,0,0,0,0,45,21,3,-7777,0,0,0,0,2,300,300,297,250,148,44,0,0,0,0,0,12,153,285,300,651,293,797,504,24,32,33,25
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201007,984,829,674,519,457,365,221,104,69,667,610,0,0,0,0,0,0,829,674,519,457,365,221,104,69,0,0,0,-7777,-7777,1,12,0,0,3,0,49,0,32,0,0,0,0,0,0,18,10,1,-7777,0,0,0,0,22,310,310,310,305,266,139,0,0,0,0,0,0,56,253,309,718,336,885,550,27,26,37,20
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201008,969,814,659,504,442,350,206,92,59,651,595,0,0,0,0,0,0,814,659,504,442,350,206,92,59,0,0,0,-7777,-7777,2,13,0,0,6,0,50,0,30,0,0,0,0,0,0,20,9,2,0,0,0,0,0,20,310,310,310,304,271,148,0,0,0,0,0,1,73,279,310,713,351,888,537,16,28,23,20
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201009,741,591,441,296,242,169,72,19,9,511,469,0,0,0,0,43,377,591,441,296,242,169,72,19,9,0,0,-7777,5,11,28,81,5,0,45,0,100,0,64,0,0,0,0,0,0,35,18,4,-7777,0,0,0,0,3,300,300,297,269,185,60,0,0,0,0,1,32,198,298,300,647,350,822,472,22,39,38,16
GHCND:USC00353445,GRANTS PASS OR US,283.5,42.4244,-123.3236,201010,471,319,181,79,53,26,4,-7777,-7777,332,298,0,2,35,215,627,944,319,181,79,53,26,4,-7777,-7777,-7777,3,20,73,109,175,308,63,0,201,0,334,0,193,0,0,0,0,0,0,83,41,14,4,0,0,0,0,0,310,309,252,145,42,7,0,0,0,0,25,126,285,310,310,552,278,691,413,21,52,40,26
