STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201001,195,78,15,1,-7777,-7777,0,0,0,73,49,0,17,109,407,793,977,78,15,1,-7777,-7777,0,0,0,13,50,142,283,344,437,592,666,0,1106,0,1350,0,1041,0,-7777,-7777,0,0,0,205,163,70,26,-7777,0,0,0,0,302,199,18,0,0,0,0,0,0,0,27,147,301,310,310,459,118,518,400,24,17,25,26
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201002,189,79,18,2,1,-7777,0,0,0,81,58,1,20,95,368,769,974,79,18,2,1,-7777,0,0,0,9,38,118,242,296,380,519,512,0,689,0,1033,0,772,2,1,1,0,-7777,0,171,131,57,22,-7777,0,0,0,0,276,204,35,4,0,0,1,0,0,2,28,136,274,280,280,465,135,532,397,25,21,28,26
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201003,234,99,22,2,1,-7777,0,0,0,104,76,0,0,7,131,530,926,99,22,2,1,-7777,0,0,0,2,21,99,235,295,388,542,529,0,810,0,896,0,775,0,0,0,0,0,0,204,149,56,14,0,0,0,0,0,310,259,40,4,0,0,0,0,0,0,14,137,305,310,310,475,138,544,406,22,17,24,24
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201004,272,129,33,5,2,-7777,0,0,0,123,93,0,0,14,38,270,803,129,33,5,2,-7777,0,0,0,-7777,8,62,183,241,329,478,314,0,425,0,639,0,471,0,0,0,0,0,0,164,111,28,6,0,0,0,0,0,300,276,46,6,0,0,0,0,0,0,5,101,289,300,300,491,139,560,421,18,20,22,20
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201005,395,241,100,21,9,2,-7777,-7777,0,192,153,0,0,0,0,9,245,241,100,21,9,2,-7777,-7777,0,0,-7777,14,90,140,227,380,200,0,337,0,504,0,356,0,0,0,0,0,0,142,84,20,4,0,0,0,0,0,310,307,124,10,0,0,0,0,0,0,0,30,248,309,310,528,133,594,461,19,16,20,20
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201006,479,328,179,51,20,3,-7777,0,0,252,204,0,0,0,0,0,0,328,179,51,20,3,-7777,0,0,0,0,1,22,51,124,272,141,0,266,0,370,0,282,0,0,0,0,0,0,115,62,17,5,0,0,0,0,0,300,300,228,7,-7777,0,0,0,0,0,0,2,147,300,300,560,126,622,497,13,11,15,13
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201007,566,411,256,106,58,13,-7777,0,0,324,269,0,0,0,0,0,0,411,256,106,58,13,-7777,0,0,0,0,-7777,6,19,68,210,37,0,61,0,111,0,83,0,0,0,0,0,0,55,20,4,1,0,0,0,0,0,310,310,290,14,0,0,0,0,0,0,0,1,93,308,310,583,129,647,518,14,12,15,15
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201008,573,418,264,114,64,17,1,-7777,0,332,278,0,0,0,0,0,0,418,264,114,64,17,1,-7777,0,0,0,-7777,5,17,63,202,21,0,50,0,104,0,82,0,0,0,0,0,0,57,17,3,1,0,0,0,0,0,310,310,295,26,1,0,0,0,0,0,0,1,108,308,310,585,136,653,517,15,18,15,19
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201009,509,358,209,80,44,15,2,-7777,0,287,241,0,0,0,0,0,24,358,209,80,44,15,2,-7777,0,0,-7777,1,21,46,106,244,71,0,163,0,296,0,191,0,0,0,0,0,0,79,40,11,2,0,0,0,0,0,300,300,251,36,7,-7777,0,0,0,0,0,4,165,299,300,569,153,646,493,20,18,21,22
GHCND:USW00024285,NEWPORT OR US,37.2,44.643,-124.0555,201010,406,252,111,29,15,5,1,0,0,212,173,0,0,0,7,94,397,252,111,29,15,5,1,0,0,-7777,1,15,88,136,219,370,342,0,499,0,715,0,523,0,0,0,0,0,0,144,87,36,12,0,0,0,0,0,310,306,154,22,3,0,0,0,0,0,1,40,248,310,310,531,149,606,456,15,19,18,18
