STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201001,90,27,4,-7777,-7777,0,0,0,0,48,33,137,421,732,956,997,1000,27,4,-7777,-7777,0,0,0,0,59,151,283,434,496,589,744,502,-9999,755,-9999,929,-9999,717,-9999,-9999,-9999,-9999,-9999,-9999,193,144,48,14,-9999,-9999,-9999,-9999,0,286,138,12,0,0,0,1,0,0,15,140,261,310,310,310,410,163,491,329,28,19,26,32
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201002,114,38,7,1,-7777,-7777,0,0,0,83,63,123,310,635,905,998,1000,38,7,1,-7777,-7777,0,0,0,32,95,204,338,393,477,617,414,-9999,515,-9999,711,-9999,579,-9999,-9999,-9999,-9999,-9999,-9999,164,120,38,10,-9999,-9999,-9999,-9999,0,269,186,44,1,0,0,1,0,2,9,118,234,279,280,280,429,200,529,330,27,24,28,30
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201003,207,87,23,3,1,-7777,0,0,0,150,123,0,4,187,684,977,1000,87,23,3,1,-7777,0,0,0,6,41,132,267,327,419,574,470,-9999,536,-9999,672,-9999,576,-9999,-9999,-9999,-9999,-9999,-9999,190,142,37,6,-9999,-9999,-9999,-9999,0,310,265,103,20,0,0,0,0,0,0,81,243,310,310,310,465,220,575,355,22,24,30,20
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201004,301,163,66,21,12,4,-7777,-7777,-7777,210,180,0,0,11,225,780,994,163,66,21,12,4,-7777,-7777,-7777,1,13,66,171,222,304,450,344,-9999,436,-9999,606,-9999,476,-9999,-9999,-9999,-9999,-9999,-9999,176,126,27,4,-9999,-9999,-9999,-9999,0,300,284,155,56,8,0,0,0,0,0,27,198,298,300,300,500,238,619,381,21,24,29,18
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201005,468,314,174,78,54,28,8,1,1,313,279,0,0,0,28,306,841,314,174,78,54,28,8,1,1,-7777,1,16,75,112,180,314,223,-9999,366,-9999,546,-9999,405,-9999,-9999,-9999,-9999,-9999,-9999,139,99,26,4,-9999,-9999,-9999,-9999,0,310,309,248,119,36,5,0,0,0,0,7,106,291,310,310,551,258,680,422,21,31,33,18
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201006,601,452,302,164,119,66,19,4,2,396,357,0,0,0,0,2,143,452,302,164,119,66,19,4,2,0,-7777,1,13,27,65,168,180,-9999,251,-9999,343,-9999,279,-9999,-9999,-9999,-9999,-9999,-9999,99,68,19,4,-9999,-9999,-9999,-9999,-7777,300,300,288,197,71,12,0,0,0,0,0,23,234,300,300,601,274,737,464,21,28,30,18
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201007,794,639,484,329,268,182,72,20,11,537,491,0,0,0,0,0,0,639,484,329,268,182,72,20,11,0,0,0,-7777,1,9,54,22,-9999,57,-9999,93,-9999,82,-9999,-9999,-9999,-9999,-9999,-9999,37,21,4,1,-9999,-9999,-9999,-9999,5,310,310,310,287,187,53,0,0,0,0,0,2,188,307,310,656,327,820,492,22,39,39,16
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201008,794,639,484,329,267,181,71,17,8,543,498,0,0,0,0,0,3,639,484,329,267,181,71,17,8,0,0,0,-7777,1,7,52,9,-9999,46,-9999,132,-9999,90,-9999,-9999,-9999,-9999,-9999,-9999,35,19,6,1,-9999,-9999,-9999,-9999,2,310,310,310,293,200,57,0,0,0,0,0,8,198,309,310,656,345,829,483,14,31,24,18
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201009,627,477,328,188,140,81,23,3,1,438,402,0,0,0,0,116,515,477,328,188,140,81,23,3,1,-7777,0,1,11,23,55,146,77,-9999,154,-9999,262,-9999,178,-9999,-9999,-9999,-9999,-9999,-9999,70,45,11,2,-9999,-9999,-9999,-9999,1,300,300,293,228,119,23,0,0,0,0,3,55,253,300,300,609,324,771,447,18,40,31,22
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201010,400,250,122,42,25,9,1,-7777,0,276,242,0,4,65,317,758,973,250,122,42,25,9,1,-7777,0,-7777,5,32,107,152,229,376,266,-9999,452,-9999,596,-9999,428,-9999,-9999,-9999,-9999,-9999,-9999,127,90,32,7,-9999,-9999,-9999,-9999,0,310,305,226,87,16,1,0,0,0,-7777,26,150,290,310,310,529,252,655,403,17,40,29,24
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201011,175,72,19,2,-7777,-7777,0,0,0,102,77,21,114,348,710,962,1000,72,19,2,-7777,-7777,0,0,0,19,66,163,296,354,444,594,579,-9999,844,-9999,1081,-9999,856,-9999,-9999,-9999,-9999,-9999,-9999,197,154,65,19,-9999,-9999,-9999,-9999,0,293,229,56,2,0,0,1,0,0,4,77,209,295,300,300,452,178,541,363,29,23,30,32
GHCND:USC00353047,FOSTER DAM OR US,167.6,44.4139,-122.6728,201012,76,20,3,-7777,-7777,0,0,0,0,35,23,188,412,736,965,1000,1000,20,3,-7777,-7777,0,0,0,0,74,173,311,464,525,618,773,509,-9999,794,-9999,1038,-9999,807,-9999,-9999,-9999,-9999,-9999,-9999,203,154,60,18,-9999,-9999,-9999,-9999,0,276,106,6,0,0,0,5,0,3,14,131,271,310,310,310,401,149,475,326,24,16,23,28
GHCND:USC00353971,HOLLEY OR US,185.9,44.3525,-122.7842,201001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,444,0,769,0,933,0,705,4,3,2,0,-7777,0,218,144,48,15,4,0,2,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00353971,HOLLEY OR US,185.9,44.3525,-122.7842,201002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,383,0,486,0,724,0,566,2,3,2,0,1,0,182,116,38,9,4,0,3,-7777,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00353971,HOLLEY OR US,185.9,44.3525,-122.7842,201003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,409,0,496,0,626,0,538,0,0,0,0,0,0,208,135,34,4,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00353971,HOLLEY OR US,185.9,44.3525,-122.7842,201004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,292,0,376,0,535,0,418,0,0,0,0,0,0,187,119,22,3,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00353971,HOLLEY OR US,185.9,44.3525,-122.7842,201005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,172,0,320,0,428,0,324,0,0,0,0,0,0,151,90,16,4,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00353971,HOLLEY OR US,185.9,44.3525,-122.7842,201006,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,153,0,207,0,277,0,224,0,0,0,0,0,0,102,58,12,3,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
