STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201001,4,-7777,0,0,0,0,0,0,0,4,2,-9999,-9999,-9999,-9999,-9999,-9999,-7777,0,0,0,0,0,0,0,397,548,702,857,919,1012,1167,-9999,-9999,-9999,-9999,-9999,-9999,115,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,123,14,0,0,0,0,75,31,82,169,281,308,310,310,310,274,202,374,173,50,35,44,61
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201002,12,2,-7777,0,0,0,0,0,0,20,13,-9999,-9999,-9999,-9999,-9999,-9999,2,-7777,0,0,0,0,0,0,252,381,519,659,715,799,939,-9999,-9999,-9999,-9999,-9999,-9999,79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,179,56,6,0,0,0,17,14,42,126,257,279,280,280,280,315,233,431,198,47,47,37,65
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201003,67,21,4,-7777,-7777,0,0,0,0,86,68,-9999,-9999,-9999,-9999,-9999,-9999,21,4,-7777,-7777,0,0,0,0,102,210,348,500,561,654,809,-9999,-9999,-9999,-9999,-9999,-9999,106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,273,173,54,8,0,0,2,-7777,3,59,250,297,310,310,310,389,248,513,265,26,45,42,25
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201004,168,83,31,8,4,1,-7777,0,0,172,148,-9999,-9999,-9999,-9999,-9999,-9999,83,31,8,4,1,-7777,0,0,39,103,202,329,384,472,621,-9999,-9999,-9999,-9999,-9999,-9999,112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,294,231,135,48,6,0,-7777,0,-7777,29,182,271,300,300,300,443,288,587,299,32,41,47,24
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201005,385,249,142,66,45,24,5,-7777,-7777,297,265,-9999,-9999,-9999,-9999,-9999,-9999,249,142,66,45,24,5,-7777,-7777,4,23,71,150,191,262,398,-9999,-9999,-9999,-9999,-9999,-9999,141,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,294,222,118,48,3,0,0,0,11,72,187,295,310,310,523,294,670,376,28,39,41,25
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201006,591,443,300,175,133,81,26,4,2,418,382,-9999,-9999,-9999,-9999,-9999,-9999,443,300,175,133,81,26,4,2,-7777,1,9,34,52,90,185,-9999,-9999,-9999,-9999,-9999,-9999,96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,300,280,213,109,17,0,0,0,1,12,77,251,299,300,597,316,755,439,23,37,39,13
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201007,860,705,550,396,336,250,123,37,19,594,548,-9999,-9999,-9999,-9999,-9999,-9999,705,550,396,336,250,123,37,19,0,-7777,-7777,1,3,10,38,-9999,-9999,-9999,-9999,-9999,-9999,32,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,310,310,310,302,261,97,0,0,0,0,1,22,177,297,310,677,376,866,489,31,28,37,31
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201008,807,652,498,345,286,202,87,21,10,571,530,-9999,-9999,-9999,-9999,-9999,-9999,652,498,345,286,202,87,21,10,0,-7777,-7777,3,6,15,54,-9999,-9999,-9999,-9999,-9999,-9999,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,310,310,310,299,249,82,0,0,0,0,2,42,225,300,310,661,388,855,466,23,37,26,33
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201009,511,367,234,125,92,51,12,2,1,415,383,-9999,-9999,-9999,-9999,-9999,-9999,367,234,125,92,51,12,2,1,1,7,24,65,92,141,252,-9999,-9999,-9999,-9999,-9999,-9999,51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,297,281,224,115,16,0,0,0,2,57,183,283,300,300,570,376,758,382,26,36,37,25
GHCND:USC00352135,DANNER OR US,1287.8,42.9447,-117.3389,201010,208,106,41,11,6,2,-7777,0,0,233,205,-9999,-9999,-9999,-9999,-9999,-9999,106,41,11,6,2,-7777,0,0,31,82,173,298,355,444,597,-9999,-9999,-9999,-9999,-9999,-9999,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,306,267,189,77,15,1,-7777,-7777,3,36,207,282,309,310,310,458,337,626,289,26,48,41,30
