STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201001,92,30,5,-7777,-7777,-7777,0,0,0,33,20,37,195,543,866,989,1000,30,5,-7777,-7777,-7777,0,0,0,69,162,292,442,504,597,752,448,0,726,0,871,0,658,1,1,1,0,-7777,0,213,141,45,11,5,0,1,-7777,0,256,100,6,-7777,0,0,5,0,0,5,112,229,307,310,310,407,117,466,349,29,16,30,30
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201002,117,39,7,1,-7777,0,0,0,0,56,38,77,202,413,723,953,1000,39,7,1,-7777,0,0,0,0,33,95,203,336,392,476,616,324,0,469,0,603,0,518,9,5,4,-7777,1,1,177,113,35,10,3,1,2,2,0,265,156,19,0,0,0,2,0,-7777,7,82,203,277,280,280,430,148,504,356,26,16,27,28
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201003,223,99,27,4,1,-7777,-7777,0,0,117,91,0,0,0,266,777,996,99,27,4,1,-7777,-7777,0,0,5,35,118,250,310,402,556,395,0,469,0,570,0,501,0,0,0,0,0,0,201,135,28,5,0,0,0,0,0,309,252,66,4,0,0,0,0,0,0,29,177,306,310,310,470,163,552,389,23,19,29,20
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201004,317,177,75,25,15,6,1,-7777,-7777,178,147,0,0,0,53,430,915,177,75,25,15,6,1,-7777,-7777,1,10,58,158,208,289,434,276,0,348,0,495,0,388,-7777,-7777,0,0,0,0,178,115,21,2,0,0,0,0,0,300,281,126,36,2,0,0,0,0,0,10,115,285,300,300,505,181,596,415,22,16,26,20
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201005,502,347,203,96,68,38,12,3,1,300,259,0,0,0,0,42,394,347,203,96,68,38,12,3,1,0,-7777,11,59,93,156,284,180,0,294,0,405,0,298,0,0,0,0,0,0,140,83,15,1,0,0,0,0,-7777,310,308,226,89,26,2,0,0,0,0,-7777,34,233,307,310,562,196,660,464,23,25,32,19
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201006,637,488,338,195,147,89,33,9,5,404,354,0,0,0,0,0,0,488,338,195,147,89,33,9,5,0,0,-7777,8,19,51,145,159,0,201,0,270,0,225,0,0,0,0,0,0,96,59,12,2,0,0,0,0,-7777,300,300,284,152,53,8,0,0,0,0,0,2,126,293,300,613,205,715,510,22,20,30,17
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201007,834,679,524,369,308,219,100,34,20,573,514,0,0,0,0,0,0,679,524,369,308,219,100,34,20,0,0,-7777,-7777,1,5,41,19,0,48,0,88,0,71,0,0,0,0,0,0,41,20,3,-7777,0,0,0,0,1,310,310,310,268,136,30,0,0,0,0,0,0,38,275,309,669,240,789,549,22,24,32,16
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201008,845,690,535,380,318,228,104,34,19,584,525,0,0,0,0,0,0,690,535,380,318,228,104,34,19,0,0,0,-7777,-7777,3,34,8,0,42,0,102,0,68,0,0,0,0,0,0,36,19,3,1,0,0,0,0,2,310,310,310,278,139,23,0,0,0,0,0,0,35,275,310,672,243,794,551,14,19,20,13
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201009,675,525,375,232,180,113,40,8,3,444,394,0,0,0,0,0,41,525,375,232,180,113,40,8,3,0,-7777,-7777,7,15,38,115,72,0,151,0,221,0,156,0,0,0,0,0,0,70,40,9,1,0,0,0,0,-7777,300,300,291,195,73,8,0,0,0,0,0,7,120,293,300,625,230,740,510,19,27,29,17
GHCND:USC00357823,SILVERTON OR US,124.4,45.0058,-122.7739,201010,420,270,139,52,32,13,2,-7777,-7777,241,203,0,0,2,89,344,788,270,139,52,32,13,2,-7777,-7777,-7777,5,29,97,139,213,357,214,0,392,0,502,0,379,0,0,0,0,0,0,136,85,26,3,0,0,0,0,0,310,303,187,52,7,-7777,0,0,0,0,4,71,256,309,310,536,180,625,446,19,27,28,18
