STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201001,30,7,1,0,0,0,0,0,0,22,14,624,839,975,1000,1000,1000,7,1,0,0,0,0,0,0,179,310,460,614,676,769,924,59,0,123,0,163,5,124,11,7,4,0,1,-7777,82,45,3,0,28,1,13,6,0,186,62,6,0,0,0,38,2,9,41,210,303,310,310,310,352,143,424,280,39,29,45,38
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201002,55,14,2,-7777,-7777,0,0,0,0,47,33,484,726,935,999,1000,1000,14,2,-7777,-7777,0,0,0,0,100,198,326,465,521,605,745,57,0,77,0,122,3,92,13,5,4,0,2,1,62,32,2,-7777,12,1,11,8,0,239,128,16,1,0,0,12,4,8,35,174,267,280,280,280,384,196,482,286,38,33,42,42
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201003,200,88,25,4,2,-7777,0,0,0,163,134,93,269,686,945,999,1000,88,25,4,2,-7777,0,0,0,17,58,151,285,344,436,591,37,0,64,0,106,0,71,1,1,1,0,0,0,63,27,1,0,1,0,1,1,0,305,277,123,12,1,0,1,0,0,5,124,254,308,310,310,459,243,581,338,24,30,31,25
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201004,381,236,115,39,23,9,2,-7777,-7777,276,244,0,8,127,458,879,994,236,115,39,23,9,2,-7777,-7777,-7777,5,33,108,152,228,370,30,0,66,0,100,0,73,0,0,0,0,0,0,48,21,2,-7777,0,0,0,0,0,300,299,239,89,11,-7777,0,0,0,0,34,169,290,300,300,527,270,662,392,22,21,24,24
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201005,635,480,327,190,144,89,33,9,4,432,389,0,0,0,11,174,621,480,327,190,144,89,33,9,4,0,-7777,2,19,35,74,173,40,0,66,0,89,0,73,0,0,0,0,0,0,51,27,2,-7777,0,0,0,0,1,310,310,302,203,77,17,0,0,0,0,3,47,217,307,310,605,280,745,465,21,25,30,18
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201006,822,672,522,372,313,229,113,41,25,564,510,0,0,0,0,0,23,672,522,372,313,229,113,41,25,0,0,0,-7777,1,7,41,11,0,52,0,73,0,52,0,0,0,0,0,0,37,18,1,-7777,0,0,0,0,2,300,300,299,281,166,47,0,0,0,0,0,2,75,272,299,674,282,815,533,24,21,32,19
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201007,1068,913,758,603,541,448,297,163,120,731,671,0,0,0,0,0,2,913,758,603,541,448,297,163,120,0,0,0,0,-7777,-7777,4,0,0,6,0,21,0,20,0,0,0,0,0,0,13,7,1,0,0,0,0,0,30,310,310,310,309,277,162,0,0,0,0,0,1,18,182,305,745,317,903,586,28,24,36,23
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201008,1027,872,718,563,501,408,258,129,90,709,650,0,0,0,0,0,0,872,718,563,501,408,258,129,90,0,0,0,0,-7777,-7777,5,0,0,12,0,30,0,22,0,0,0,0,0,0,16,7,1,0,0,0,0,0,15,310,310,310,309,271,144,0,0,0,0,0,-7777,32,212,306,731,317,890,573,19,25,23,22
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201009,720,570,421,276,222,150,62,16,8,505,461,0,0,1,22,103,371,570,421,276,222,150,62,16,8,-7777,-7777,1,6,12,30,92,2,0,17,0,50,0,41,0,0,0,0,0,0,29,13,1,0,0,0,0,0,-7777,300,300,299,268,155,24,0,0,0,0,2,26,180,291,300,640,316,798,482,25,32,32,26
GHCND:USC00350858,BOARDMAN OR US,85.3,45.8472,-119.6933,201010,387,242,120,45,27,11,1,-7777,-7777,284,251,23,69,231,638,926,995,242,120,45,27,11,1,-7777,-7777,3,13,46,125,170,246,392,28,0,68,0,94,0,66,1,-7777,-7777,0,0,0,43,22,2,0,0,0,0,0,0,310,305,251,90,11,0,0,0,0,1,53,177,293,310,310,524,272,660,388,20,23,24,23
