STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201001,70,17,2,-7777,-7777,0,0,0,0,26,16,-9999,-9999,-9999,-9999,-9999,-9999,17,2,-7777,-7777,0,0,0,0,76,178,318,471,533,626,781,422,0,671,0,797,0,618,5,1,-7777,0,0,0,174,133,41,11,1,0,0,0,0,251,84,4,0,0,0,8,0,3,16,104,262,310,310,310,398,120,458,338,31,22,29,37
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201002,108,31,5,-7777,-7777,0,0,0,0,50,34,-9999,-9999,-9999,-9999,-9999,-9999,31,5,-7777,-7777,0,0,0,0,34,97,211,346,402,486,626,305,0,463,0,648,0,509,5,1,1,0,1,-7777,148,102,25,9,-7777,0,0,0,0,259,149,16,0,0,0,3,0,-7777,9,73,210,279,280,280,427,143,498,355,29,19,31,29
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201003,234,106,31,5,2,-7777,-7777,0,0,134,107,-9999,-9999,-9999,-9999,-9999,-9999,106,31,5,2,-7777,-7777,0,0,5,32,111,241,300,391,546,356,0,454,0,526,0,464,5,1,1,0,1,1,178,123,26,5,0,0,0,0,0,307,254,90,9,0,0,0,0,0,1,34,180,308,310,310,474,178,563,385,23,22,28,22
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201004,344,200,88,29,17,6,1,-7777,-7777,209,178,-9999,-9999,-9999,-9999,-9999,-9999,200,88,29,17,6,1,-7777,-7777,-7777,7,44,135,183,263,407,304,0,360,0,477,0,385,0,0,0,0,0,0,167,116,22,2,0,0,0,0,0,300,288,159,48,6,0,0,0,0,0,12,120,289,300,300,514,206,617,412,20,23,25,20
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201005,538,383,235,119,86,50,16,2,1,336,295,-9999,-9999,-9999,-9999,-9999,-9999,383,235,119,86,50,16,2,1,0,-7777,7,46,75,132,253,183,0,289,0,365,0,294,0,0,0,0,0,0,130,85,13,1,0,0,0,0,0,310,309,249,119,44,4,0,0,0,0,2,44,226,310,310,574,221,684,463,25,33,34,25
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201006,672,522,372,228,175,110,42,11,5,437,388,-9999,-9999,-9999,-9999,-9999,-9999,522,372,228,175,110,42,11,5,0,0,-7777,5,13,38,120,145,0,201,0,328,0,242,0,0,0,0,0,0,91,65,13,5,0,0,0,0,-7777,300,300,288,188,81,16,0,0,0,0,0,4,129,297,300,624,235,742,506,22,31,35,16
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201007,858,704,549,394,332,242,116,40,23,588,530,-9999,-9999,-9999,-9999,-9999,-9999,704,549,394,332,242,116,40,23,0,0,0,-7777,-7777,3,33,20,0,40,0,93,0,74,0,0,0,0,0,0,39,23,5,0,0,0,0,0,7,310,310,310,278,176,56,0,0,0,0,0,1,54,284,310,677,273,814,540,25,36,39,20
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201008,867,711,556,401,340,249,121,40,23,595,538,-9999,-9999,-9999,-9999,-9999,-9999,711,556,401,340,249,121,40,23,0,0,0,-7777,-7777,3,29,12,0,75,0,153,0,86,0,0,0,0,0,0,32,19,4,2,0,0,0,0,5,310,310,310,285,180,58,0,0,0,0,0,2,66,284,310,679,283,821,538,23,32,29,27
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201009,682,532,383,238,185,117,42,9,4,459,413,-9999,-9999,-9999,-9999,-9999,-9999,532,383,238,185,117,42,9,4,0,-7777,-7777,6,13,35,110,54,0,185,0,252,0,185,0,0,0,0,0,0,67,42,8,2,0,0,0,0,-7777,300,300,295,221,97,14,0,0,0,0,0,17,158,295,300,628,265,760,495,23,43,34,29
GHCND:USW00024242,PORTLAND TROUTDALE AIRPORT OR US,8.8,45.55111,-122.40889,201010,430,278,143,54,33,14,2,-7777,-7777,262,226,-9999,-9999,-9999,-9999,-9999,-9999,278,143,54,33,14,2,-7777,-7777,-7777,4,24,89,131,204,348,221,0,406,0,523,0,395,0,0,0,0,0,0,117,78,22,4,0,0,0,0,0,310,304,218,63,6,0,0,0,0,0,7,86,265,310,310,538,203,640,437,19,33,26,24
