STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201001,89,27,4,-7777,-7777,0,0,0,0,29,17,90,289,642,910,995,1000,27,4,-7777,-7777,0,0,0,0,60,152,284,436,498,591,746,453,0,808,0,1009,0,765,5,4,2,0,1,0,175,114,47,14,1,0,-7777,0,0,269,95,3,0,0,0,4,0,0,4,101,233,307,310,310,409,117,468,351,25,18,25,27
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201002,119,39,7,-7777,-7777,0,0,0,0,59,41,81,219,460,819,984,1000,39,7,-7777,-7777,0,0,0,0,29,89,197,331,386,470,610,286,0,519,0,673,0,567,17,6,5,-7777,3,1,146,96,35,9,7,1,6,4,0,267,160,19,0,0,0,2,0,-7777,4,84,207,277,280,280,432,154,509,355,25,21,28,26
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201003,220,97,24,2,1,-7777,-7777,0,0,133,105,0,7,121,542,927,999,97,24,2,1,-7777,-7777,0,0,5,37,119,252,312,405,560,323,0,442,0,621,0,487,1,1,-7777,0,0,0,166,107,29,6,0,0,0,0,0,310,258,84,7,0,0,0,0,0,0,60,202,309,310,310,470,187,563,376,24,26,31,23
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201004,318,178,76,23,12,4,-7777,-7777,-7777,202,172,0,0,0,213,772,993,178,76,23,12,4,-7777,-7777,-7777,-7777,10,58,155,204,286,432,174,0,250,0,480,0,317,0,0,0,0,0,0,134,72,20,3,0,0,0,0,0,300,285,150,51,3,0,0,0,0,0,22,153,291,300,300,506,214,613,399,20,26,28,19
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201005,502,348,202,94,65,36,10,3,1,322,285,0,0,0,14,264,770,348,202,94,65,36,10,3,1,0,1,10,57,90,154,283,102,0,202,0,317,0,214,0,0,0,0,0,0,98,61,9,1,0,0,0,0,0,310,309,251,116,37,4,0,0,0,0,3,73,259,309,310,562,236,680,444,23,36,37,19
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201006,634,485,335,192,142,83,28,8,5,414,370,0,0,0,0,0,59,485,335,192,142,83,28,8,5,0,-7777,-7777,7,18,49,144,85,0,124,0,224,0,152,0,0,0,0,0,0,72,35,8,2,0,0,0,0,1,300,300,295,186,69,14,0,0,0,0,0,10,183,296,300,612,253,738,485,22,30,33,18
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201007,832,677,522,367,306,217,94,30,18,565,513,0,0,0,0,12,36,677,522,367,306,217,94,30,18,0,0,0,-7777,1,5,37,6,0,25,0,53,0,42,0,0,0,0,0,0,29,10,2,1,0,0,0,0,5,310,310,310,292,182,58,0,0,0,0,-7777,1,124,298,310,668,308,823,514,22,36,37,17
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201008,839,684,529,374,312,222,96,27,14,572,520,0,0,0,0,0,8,684,529,374,312,222,96,27,14,0,0,0,-7777,-7777,3,32,12,0,44,0,98,0,54,0,0,0,0,0,0,28,13,3,0,0,0,0,0,2,310,310,310,296,194,61,0,0,0,0,0,1,127,299,310,670,315,828,513,14,27,23,16
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201009,690,540,390,246,193,124,44,10,5,471,428,0,0,0,0,15,232,540,390,246,193,124,44,10,5,0,0,-7777,6,13,34,104,55,0,88,0,184,0,116,0,0,0,0,0,0,63,34,7,0,0,0,0,0,1,300,300,296,238,122,27,0,0,0,0,-7777,20,188,293,300,630,296,778,482,20,34,32,20
GHCND:USC00352112,DALLAS 2 NE OR US,88.4,44.94639,-123.29083,201010,431,280,148,59,38,17,3,-7777,-7777,274,238,0,0,0,97,569,931,280,148,59,38,17,3,-7777,-7777,-7777,4,27,94,134,206,347,217,0,298,0,425,0,308,0,0,0,0,0,0,108,62,21,6,0,0,0,0,0,310,305,224,84,17,1,0,0,0,0,11,106,266,309,310,539,220,649,429,20,34,33,19
