STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201001,200,83,19,2,-7777,-7777,0,0,0,75,50,0,14,98,329,707,943,83,19,2,-7777,-7777,0,0,0,10,47,138,276,337,429,584,810,0,1202,0,1405,0,1172,3,3,2,0,0,0,187,172,96,31,0,0,0,0,0,306,198,20,0,0,0,0,0,0,1,23,143,287,310,310,461,110,517,406,24,19,23,28
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201002,209,94,25,3,1,-7777,0,0,0,93,68,2,22,77,285,691,947,94,25,3,1,-7777,0,0,0,7,32,103,222,276,359,498,471,0,715,0,1250,0,845,1,1,1,0,0,0,146,136,62,23,0,0,0,0,0,276,209,40,3,0,0,0,0,0,1,29,124,263,280,280,472,134,539,405,23,21,26,26
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201003,258,119,33,5,2,-7777,0,0,0,118,88,0,0,0,0,371,883,119,33,5,2,-7777,0,0,0,1,16,85,212,271,363,518,653,0,906,0,1025,0,888,3,1,1,0,1,0,185,172,77,20,0,0,0,0,0,310,260,60,6,0,0,0,0,0,0,7,130,296,310,310,483,138,552,414,20,19,24,19
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201004,305,159,52,11,5,2,-7777,0,0,149,116,0,0,0,0,160,718,159,52,11,5,2,-7777,0,0,0,4,48,157,211,297,446,403,0,593,0,850,0,642,1,1,1,0,0,0,150,132,50,11,0,0,0,0,0,300,282,83,14,1,0,0,0,0,0,1,98,279,300,300,501,147,575,428,17,24,21,20
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201005,437,282,137,43,24,10,2,-7777,-7777,235,193,0,0,0,0,7,274,282,137,43,24,10,2,-7777,-7777,0,-7777,10,71,114,192,340,312,0,487,0,550,0,458,0,0,0,0,0,0,122,101,37,9,0,0,0,0,0,310,309,162,30,7,0,0,0,0,0,0,33,224,309,310,541,152,617,465,17,28,24,20
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201006,529,379,230,91,50,16,3,1,-7777,305,258,0,0,0,0,0,4,379,230,91,50,16,3,1,-7777,0,0,-7777,12,31,86,224,170,0,290,0,455,0,338,0,0,0,0,0,0,87,72,25,7,0,0,0,0,0,300,300,256,47,7,2,0,0,0,0,0,5,148,299,300,576,153,653,500,13,30,22,18
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201007,640,485,330,176,117,46,4,1,-7777,402,349,0,0,0,0,0,0,485,330,176,117,46,4,1,-7777,0,0,0,-7777,4,26,139,26,0,66,0,159,0,112,0,0,0,0,0,0,44,29,8,2,0,0,0,0,0,310,310,306,126,6,1,0,0,0,0,0,1,113,297,310,606,173,693,520,12,30,17,21
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201008,662,507,352,197,137,60,6,1,-7777,421,368,0,0,0,0,0,0,507,352,197,137,60,6,1,-7777,0,0,0,-7777,2,18,119,40,0,120,0,175,0,120,0,0,0,0,0,0,46,30,9,3,0,0,0,0,0,310,310,308,153,12,2,0,0,0,0,0,-7777,107,299,310,613,181,704,523,12,29,17,20
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201009,591,441,291,148,100,47,10,1,1,369,323,0,0,0,0,0,32,441,291,148,100,47,10,1,1,0,0,-7777,7,19,56,169,128,0,253,0,460,0,296,0,0,0,0,0,0,69,55,20,8,0,0,0,0,0,300,300,287,116,24,3,0,0,0,0,0,9,154,293,300,597,194,694,500,17,29,23,22
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201010,454,300,154,52,30,11,2,-7777,-7777,260,219,0,0,1,30,111,535,300,154,52,30,11,2,-7777,-7777,-7777,1,10,63,102,177,323,430,0,580,0,888,0,623,0,0,0,0,0,0,121,107,47,18,0,0,0,0,0,310,310,208,41,7,-7777,0,0,0,0,1,48,229,309,310,547,171,632,461,15,33,22,23
GHCND:USC00351682,CLOVERDALE OR US,3.7,45.205,-123.8925,201011,279,143,47,8,3,1,-7777,0,0,125,92,0,1,25,132,391,800,143,47,8,3,1,-7777,0,0,5,19,73,183,239,326,476,955,0,1302,0,1756,0,1302,1,1,-7777,0,0,0,190,179,104,37,0,0,0,0,0,297,262,50,1,0,0,-7777,0,0,-7777,15,97,256,299,300,492,123,553,430,27,20,27,30
