STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00358726,UKIAH OR US,1022,45.1339,-118.9312,201001,3,-7777,0,0,0,0,0,0,0,8,4,-9999,-9999,-9999,-9999,-9999,-9999,-7777,0,0,0,0,0,0,0,406,558,713,868,930,1023,1178,-9999,-9999,-9999,-9999,-9999,-9999,179,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,147,24,1,0,0,0,63,33,87,183,296,310,310,310,310,270,228,384,156,50,23,46,57
GHCND:USC00358726,UKIAH OR US,1022,45.1339,-118.9312,201002,9,1,-7777,0,0,0,0,0,0,25,18,-9999,-9999,-9999,-9999,-9999,-9999,1,-7777,0,0,0,0,0,0,278,410,549,689,745,829,969,-9999,-9999,-9999,-9999,-9999,-9999,125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,194,68,13,-7777,0,0,28,26,54,144,263,279,280,280,280,304,264,436,172,51,39,46,63
GHCND:USC00358726,UKIAH OR US,1022,45.1339,-118.9312,201003,43,10,2,-7777,-7777,0,0,0,0,75,58,-9999,-9999,-9999,-9999,-9999,-9999,10,2,-7777,-7777,0,0,0,0,133,255,402,555,617,710,865,-9999,-9999,-9999,-9999,-9999,-9999,146,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,276,151,46,5,0,0,3,2,11,85,276,306,310,310,310,371,266,504,238,36,35,38,41
GHCND:USC00358726,UKIAH OR US,1022,45.1339,-118.9312,201004,116,46,14,3,1,-7777,-7777,0,0,150,126,-9999,-9999,-9999,-9999,-9999,-9999,46,14,3,1,-7777,-7777,0,0,48,128,246,385,444,533,682,-9999,-9999,-9999,-9999,-9999,-9999,155,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,296,225,109,35,3,0,0,0,-7777,39,240,295,300,300,300,423,303,574,271,27,33,36,26
GHCND:USC00358726,UKIAH OR US,1020.5,45.1329,-118.934,201005,279,156,73,28,17,7,1,-7777,0,255,225,-9999,-9999,-9999,-9999,-9999,-9999,156,73,28,17,7,1,-7777,0,9,40,112,222,273,356,505,-9999,-9999,-9999,-9999,-9999,-9999,182,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,287,197,85,27,1,0,0,0,8,142,259,308,310,310,487,313,644,331,21,27,28,22
GHCND:USC00358726,UKIAH OR US,1020.5,45.1329,-118.934,201006,462,315,183,87,60,32,7,-7777,-7777,369,338,-9999,-9999,-9999,-9999,-9999,-9999,315,183,87,60,32,7,-7777,-7777,-7777,3,21,75,109,170,295,-9999,-9999,-9999,-9999,-9999,-9999,144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,297,269,182,78,9,0,0,0,0,50,189,294,300,300,554,348,728,380,21,41,39,15
GHCND:USC00358726,UKIAH OR US,1020.5,45.1329,-118.934,201007,666,511,358,215,166,102,31,5,2,511,477,-9999,-9999,-9999,-9999,-9999,-9999,511,358,215,166,102,31,5,2,0,-7777,2,14,27,55,140,-9999,-9999,-9999,-9999,-9999,-9999,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,310,310,308,281,200,56,0,0,0,0,19,148,287,309,310,615,416,823,407,28,35,38,27
GHCND:USC00358726,UKIAH OR US,1020.5,45.1329,-118.934,201008,642,487,334,193,145,86,24,3,1,520,487,-9999,-9999,-9999,-9999,-9999,-9999,487,334,193,145,86,24,3,1,-7777,-7777,3,16,30,64,158,-9999,-9999,-9999,-9999,-9999,-9999,62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,310,310,308,290,213,73,0,0,0,0,53,205,300,310,310,607,454,834,380,19,38,28,27
GHCND:USC00358726,UKIAH OR US,1020.5,45.1329,-118.934,201009,396,259,145,64,42,21,4,-7777,-7777,399,369,-9999,-9999,-9999,-9999,-9999,-9999,259,145,64,42,21,4,-7777,-7777,4,16,52,121,159,228,361,-9999,-9999,-9999,-9999,-9999,-9999,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,299,297,277,201,112,29,0,0,0,19,178,270,298,300,300,531,446,754,308,28,48,41,32
GHCND:USC00358726,UKIAH OR US,1020.5,45.1329,-118.934,201010,175,82,27,5,2,-7777,-7777,0,0,238,210,-9999,-9999,-9999,-9999,-9999,-9999,82,27,5,2,-7777,-7777,0,0,36,98,198,331,389,481,636,-9999,-9999,-9999,-9999,-9999,-9999,132,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,307,276,184,84,20,1,0,0,2,73,246,300,309,310,310,445,371,631,259,24,48,42,22
