STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201001,30,6,-7777,0,0,0,0,0,0,23,15,455,698,895,987,1000,1000,6,-7777,0,0,0,0,0,0,148,278,428,583,645,738,893,148,0,260,0,341,19,257,23,13,9,-7777,4,2,136,69,12,2,-9999,-9999,-9999,-9999,0,202,71,5,0,0,0,24,-7777,2,25,208,303,310,310,310,362,143,434,290,36,27,41,37
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201002,63,14,1,-7777,-7777,0,0,0,0,56,40,305,525,832,988,1000,1000,14,1,-7777,-7777,0,0,0,0,80,171,298,437,493,577,717,92,0,154,0,252,0,183,6,5,2,0,1,1,107,53,9,1,-9999,-9999,-9999,-9999,0,241,149,22,0,0,0,9,1,6,26,178,262,280,280,280,394,197,493,295,35,33,40,37
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201003,208,90,24,4,2,-7777,-7777,0,0,165,137,28,85,343,833,989,1000,90,24,4,2,-7777,-7777,0,0,12,48,138,272,332,424,578,65,0,100,0,146,0,116,2,2,1,0,0,0,103,40,3,0,-9999,-9999,-9999,-9999,0,306,279,128,15,0,0,1,0,0,2,101,256,309,310,310,463,238,583,344,23,23,31,20
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201004,369,226,110,40,25,10,2,-7777,-7777,263,232,0,0,0,232,735,985,226,110,40,25,10,2,-7777,-7777,-7777,7,41,121,165,241,383,44,0,74,0,101,0,80,0,0,0,0,0,0,74,26,1,-7777,-9999,-9999,-9999,-9999,0,300,298,216,85,14,-7777,0,0,0,0,37,162,292,300,300,523,263,654,392,22,22,27,22
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201005,616,461,310,177,135,85,35,12,7,412,370,0,0,0,0,106,511,461,310,177,135,85,35,12,7,-7777,-7777,5,27,47,90,195,35,0,54,0,104,0,71,0,0,0,0,0,0,66,24,1,0,-9999,-9999,-9999,-9999,1,310,310,299,182,69,17,0,0,0,0,3,52,224,305,310,598,271,734,463,22,26,32,16
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201006,788,638,488,339,282,202,102,41,26,530,478,0,0,0,0,0,0,638,488,339,282,202,102,41,26,0,0,-7777,1,4,15,64,15,0,38,0,71,0,48,0,0,0,0,0,0,40,16,1,0,-9999,-9999,-9999,-9999,6,300,300,299,257,139,53,0,0,0,0,0,3,99,271,300,663,275,800,525,25,23,34,19
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201007,1023,868,713,558,496,404,257,135,97,699,638,0,0,0,0,0,0,868,713,558,496,404,257,135,97,0,0,0,-7777,-7777,1,9,0,0,5,0,15,0,16,0,0,0,0,0,0,13,4,1,-7777,-9999,-9999,-9999,-9999,34,310,310,310,307,245,135,0,0,0,0,0,0,18,205,306,730,304,882,578,28,24,37,23
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201008,1011,856,700,546,484,391,243,122,86,688,628,0,0,0,0,0,0,856,700,546,484,391,243,122,86,0,0,0,-7777,-7777,1,7,2,0,11,0,36,0,30,0,0,0,0,0,0,21,9,1,0,-9999,-9999,-9999,-9999,30,310,310,310,308,253,134,0,0,0,0,0,-7777,29,222,309,726,317,885,567,19,22,26,17
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201009,750,600,451,306,251,176,82,26,14,514,469,0,0,0,8,38,199,600,451,306,251,176,82,26,14,-7777,-7777,1,6,11,26,82,4,0,15,0,80,0,44,0,0,0,0,0,0,34,11,3,0,-9999,-9999,-9999,-9999,4,300,300,298,265,161,62,0,0,0,0,3,22,168,293,300,650,326,813,487,24,28,33,22
GHCND:USC00358407,THE DALLES OR US,45.7,45.6069,-121.2047,201010,419,272,145,59,39,20,4,-7777,-7777,307,275,15,49,128,388,786,977,272,145,59,39,20,4,-7777,-7777,2,10,38,107,149,223,362,49,0,70,0,117,0,93,0,0,0,0,0,0,73,29,3,1,-9999,-9999,-9999,-9999,0,310,302,252,115,30,1,0,0,0,-7777,39,167,294,310,310,534,283,676,393,26,28,33,25
