STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201001,69,17,2,-7777,-7777,0,0,0,0,27,15,127,343,711,955,997,1000,17,2,-7777,-7777,0,0,0,0,66,169,309,462,524,617,772,-9999,-9999,-9999,-9999,-9999,-9999,606,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,273,95,3,0,0,0,3,0,0,5,134,259,308,310,310,401,135,469,333,26,18,27,28
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201002,86,19,1,-7777,0,0,0,0,0,53,35,118,286,550,856,991,1000,19,1,-7777,0,0,0,0,0,21,93,215,354,410,494,634,-9999,-9999,-9999,-9999,-9999,-9999,441,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,271,162,8,0,0,0,0,0,0,2,113,230,280,280,280,423,171,509,338,28,25,26,34
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201003,194,78,20,3,1,-7777,0,0,0,122,95,0,6,150,582,946,1000,78,20,3,1,-7777,0,0,0,6,46,142,280,340,432,587,-9999,-9999,-9999,-9999,-9999,-9999,373,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,251,69,13,0,0,0,0,0,0,66,229,309,310,310,461,190,556,365,22,22,28,21
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201004,302,163,63,17,9,2,-7777,0,0,192,162,0,0,4,202,744,989,163,63,17,9,2,-7777,0,0,1,11,62,165,217,301,448,-9999,-9999,-9999,-9999,-9999,-9999,301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,287,136,37,5,0,0,0,0,0,25,156,293,300,300,500,213,607,394,23,23,30,21
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201005,493,338,193,84,54,27,6,1,-7777,315,277,0,0,0,15,234,681,338,193,84,54,27,6,1,-7777,-7777,-7777,10,56,88,154,288,-9999,-9999,-9999,-9999,-9999,-9999,228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,310,253,105,31,3,0,0,0,0,2,75,259,310,310,559,234,676,442,23,36,35,22
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201006,615,465,316,176,128,72,20,5,2,397,354,0,0,0,0,0,65,465,316,176,128,72,20,5,2,0,0,-7777,10,23,57,155,-9999,-9999,-9999,-9999,-9999,-9999,140,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,300,300,288,175,63,10,0,0,0,0,0,18,185,298,300,605,243,727,483,24,24,34,18
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201007,793,638,483,329,268,183,75,22,12,536,486,0,0,0,0,0,0,638,483,329,268,183,75,22,12,0,0,0,1,2,10,56,-9999,-9999,-9999,-9999,-9999,-9999,55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,310,310,310,267,160,43,0,0,0,0,0,2,132,296,310,656,291,801,511,29,25,38,22
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201008,801,646,491,337,276,191,77,19,9,544,494,0,0,0,0,0,2,646,491,337,276,191,77,19,9,0,0,0,1,2,10,51,-9999,-9999,-9999,-9999,-9999,-9999,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,310,310,310,290,169,49,0,0,0,0,0,5,150,305,310,659,311,814,503,17,32,25,23
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201009,615,465,317,180,133,76,19,3,1,416,377,0,0,0,0,55,383,465,317,180,133,76,19,3,1,0,-7777,2,15,28,61,155,-9999,-9999,-9999,-9999,-9999,-9999,144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,300,288,211,86,13,0,0,0,0,1,37,222,300,300,605,285,747,463,20,40,33,23
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201010,357,210,93,27,14,5,1,-7777,0,236,201,0,12,69,309,709,937,210,93,27,14,5,1,-7777,0,1,8,47,135,185,269,419,-9999,-9999,-9999,-9999,-9999,-9999,318,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,310,306,191,53,4,0,0,0,0,0,27,152,282,310,310,515,224,627,403,21,38,28,28
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201011,153,58,14,3,1,-7777,0,0,0,76,54,47,147,336,654,944,1000,58,14,3,1,-7777,0,0,0,23,77,184,322,381,470,620,-9999,-9999,-9999,-9999,-9999,-9999,647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,289,191,20,0,0,0,2,0,0,4,83,196,291,300,300,444,153,520,367,30,26,26,38
GHCND:USW00094261,PORTLAND HILLSBORO AIRPORT OR US,62.2,45.54056,-122.94861,201012,53,12,1,-7777,0,0,0,0,0,17,9,218,398,733,973,1000,1000,12,1,-7777,0,0,0,0,0,98,211,356,510,572,665,820,-9999,-9999,-9999,-9999,-9999,-9999,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,258,57,1,0,0,0,11,0,4,19,143,269,308,310,310,385,129,450,321,29,23,23,38
GHCND:USC00352325,DILLEY 2 S OR US,50.3,45.48333,-123.12417,201001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,426,0,775,0,943,20,716,14,9,7,0,1,0,203,134,54,14,14,0,-7777,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00352325,DILLEY 2 S OR US,50.3,45.48333,-123.12417,201002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,318,0,477,0,646,12,515,19,7,7,0,3,1,155,107,37,8,10,0,5,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00352325,DILLEY 2 S OR US,50.3,45.48333,-123.12417,201003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,314,0,425,0,526,0,450,1,1,1,0,0,0,181,114,24,5,-7777,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
