STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201001,98,37,10,1,-7777,-7777,0,0,0,43,30,551,715,867,968,998,1000,37,10,1,-7777,-7777,0,0,0,123,217,345,491,552,645,800,80,0,127,0,213,13,144,19,7,4,0,2,1,60,38,6,2,21,2,12,8,0,232,103,20,0,0,0,25,2,5,33,122,241,305,310,310,392,124,454,330,37,29,42,37
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201002,115,46,12,2,1,-7777,0,0,0,67,51,403,585,788,940,995,1000,46,12,2,1,-7777,0,0,0,79,149,255,386,441,524,664,76,0,129,0,150,10,136,14,6,5,0,2,1,62,42,5,0,14,1,5,3,0,242,150,32,3,0,0,11,4,7,28,117,218,275,280,280,413,171,499,327,44,32,49,45
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201003,199,92,29,6,3,1,-7777,0,0,133,107,38,158,472,827,966,994,92,29,6,3,1,-7777,0,0,21,69,161,292,352,442,597,74,0,129,0,177,5,136,4,3,2,0,-7777,0,79,45,6,1,2,0,-7777,0,0,305,241,94,13,-7777,0,-7777,0,0,5,91,227,304,310,310,457,201,558,357,28,32,34,30
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201004,301,171,76,25,15,5,1,-7777,-7777,204,175,0,10,198,611,924,997,171,76,25,15,5,1,-7777,-7777,4,24,79,178,228,308,454,97,0,140,0,209,0,149,1,1,1,0,0,0,72,47,7,1,-7777,0,0,0,0,300,271,158,58,7,0,0,0,0,-7777,47,178,292,300,300,499,231,614,384,25,32,35,23
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201005,511,359,220,114,83,48,15,4,2,346,308,0,0,0,131,559,914,359,220,114,83,48,15,4,2,-7777,3,19,67,98,156,279,110,0,161,0,226,0,187,1,1,1,0,0,0,71,51,14,2,0,0,0,0,0,310,308,257,136,50,6,0,0,0,0,15,98,250,308,310,565,258,694,436,27,32,39,22
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201006,680,530,381,241,191,127,51,14,8,463,419,0,0,0,0,30,254,530,381,241,191,127,51,14,8,0,-7777,1,11,22,48,122,72,0,108,0,188,0,132,0,0,0,0,0,0,55,38,8,1,0,0,0,0,1,300,300,295,224,114,24,0,0,0,0,1,32,178,290,300,627,282,768,485,28,35,40,23
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201007,911,756,601,447,386,299,170,75,48,616,564,0,0,0,0,0,21,756,601,447,386,299,170,75,48,0,0,-7777,-7777,2,7,33,5,0,35,0,94,0,53,0,0,0,0,0,0,24,14,3,1,0,0,0,0,15,310,310,310,299,246,124,0,0,0,0,0,9,123,280,309,694,352,870,518,34,40,49,27
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201008,897,742,587,433,372,284,154,62,38,613,562,0,0,0,0,0,40,742,587,433,372,284,154,62,38,0,0,0,1,2,6,32,0,0,26,0,95,0,51,0,0,0,0,0,0,22,14,3,-7777,0,0,0,0,8,310,310,310,300,247,108,0,0,0,0,0,9,130,287,309,690,351,865,514,24,34,32,27
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201009,654,505,360,226,178,116,42,9,4,459,420,0,0,0,48,269,683,505,360,226,178,116,42,9,4,-7777,1,6,22,34,62,138,16,0,50,0,106,0,68,0,0,0,0,0,0,32,22,3,0,0,0,0,0,2,300,300,288,233,140,28,0,0,0,0,10,54,226,296,300,618,322,779,457,31,44,49,22
GHCND:USC00353038,FOSSIL OR US,807.7,44.9984,-120.2176,201010,413,271,150,63,40,19,3,-7777,-7777,292,259,20,67,254,562,866,991,271,150,63,40,19,3,-7777,-7777,4,17,50,119,158,229,369,85,0,119,0,200,0,132,3,1,1,0,-7777,-7777,58,36,6,1,0,0,0,0,0,309,293,226,114,22,2,0,0,-7777,2,41,150,281,309,310,532,260,662,402,25,38,39,21
