"datatype","county","county_average","stations"
"MLY-GRDD-BASE50","Baker",2364.5,4
"MLY-GRDD-BASE50","Benton",2079,3
"MLY-GRDD-BASE50","Clackamas",1929.57142857143,7
"MLY-GRDD-BASE50","Clatsop",1364.66666666667,3
"MLY-GRDD-BASE50","Columbia",1821.5,4
"MLY-GRDD-BASE50","Coos",1595.8,5
"MLY-GRDD-BASE50","Crook",1815,2
"MLY-GRDD-BASE50","Curry",1697.5,4
"MLY-GRDD-BASE50","Deschutes",1438.57142857143,7
"MLY-GRDD-BASE50","Douglas",2303.8,10
"MLY-GRDD-BASE50","Gilliam",2568.5,2
"MLY-GRDD-BASE50","Grant",1990.85714285714,7
"MLY-GRDD-BASE50","Harney",1923.55555555556,9
"MLY-GRDD-BASE50","Hood River",1995.5,2
"MLY-GRDD-BASE50","Jackson",2380,6
"MLY-GRDD-BASE50","Jefferson",1936,5
"MLY-GRDD-BASE50","Josephine",2572,3
"MLY-GRDD-BASE50","Klamath",1179.16666666667,6
"MLY-GRDD-BASE50","Lake",1776.33333333333,9
"MLY-GRDD-BASE50","Lane",1995.23076923077,13
"MLY-GRDD-BASE50","Lincoln",1433.66666666667,3
"MLY-GRDD-BASE50","Linn",1776.85714285714,7
"MLY-GRDD-BASE50","Malheur",2509.30769230769,13
"MLY-GRDD-BASE50","Marion",2081.33333333333,6
"MLY-GRDD-BASE50","Morrow",2703,2
"MLY-GRDD-BASE50","Multnomah",2536.8,5
"MLY-GRDD-BASE50","Polk",1730.66666666667,3
"MLY-GRDD-BASE50","Sherman",2110,1
"MLY-GRDD-BASE50","Tillamook",1460.33333333333,3
"MLY-GRDD-BASE50","Umatilla",2462.54545454545,11
"MLY-GRDD-BASE50","Union",2091.75,4
"MLY-GRDD-BASE50","Wallowa",1656.66666666667,3
"MLY-GRDD-BASE50","Wasco",2641.5,2
"MLY-GRDD-BASE50","Washington",2284,3
"MLY-GRDD-BASE50","Wheeler",2188.5,2
"MLY-GRDD-BASE50","Yamhill",2188,2
"MLY-PRCP-NORMAL","Baker",1622.6,5
"MLY-PRCP-NORMAL","Benton",5862,3
"MLY-PRCP-NORMAL","Clackamas",6595.75,8
"MLY-PRCP-NORMAL","Clatsop",8594.5,4
"MLY-PRCP-NORMAL","Columbia",4776.5,4
"MLY-PRCP-NORMAL","Coos",6195.6,5
"MLY-PRCP-NORMAL","Crook",1224,2
"MLY-PRCP-NORMAL","Curry",8444.4,5
"MLY-PRCP-NORMAL","Deschutes",1289.75,8
"MLY-PRCP-NORMAL","Douglas",4432.375,16
"MLY-PRCP-NORMAL","Gilliam",1187,2
"MLY-PRCP-NORMAL","Grant",1521.57142857143,7
"MLY-PRCP-NORMAL","Harney",1073,8
"MLY-PRCP-NORMAL","Hood River",3269.5,2
"MLY-PRCP-NORMAL","Jackson",2699.88888888889,9
"MLY-PRCP-NORMAL","Jefferson",1239.28571428571,7
"MLY-PRCP-NORMAL","Josephine",4037.5,4
"MLY-PRCP-NORMAL","Klamath",2880.71428571429,7
"MLY-PRCP-NORMAL","Lake",1185.55555555556,9
"MLY-PRCP-NORMAL","Lane",6056.85714285714,14
"MLY-PRCP-NORMAL","Lincoln",8399,3
"MLY-PRCP-NORMAL","Linn",6176.6,10
"MLY-PRCP-NORMAL","Malheur",1004.5,12
"MLY-PRCP-NORMAL","Marion",5723.33333333333,6
"MLY-PRCP-NORMAL","Morrow",1176.66666666667,3
"MLY-PRCP-NORMAL","Multnomah",4936.8,5
"MLY-PRCP-NORMAL","Polk",7441.75,4
"MLY-PRCP-NORMAL","Sherman",1180,2
"MLY-PRCP-NORMAL","Tillamook",8398.5,2
"MLY-PRCP-NORMAL","Umatilla",1651.25,12
"MLY-PRCP-NORMAL","Union",1748.66666666667,3
"MLY-PRCP-NORMAL","Wallowa",1769.75,4
"MLY-PRCP-NORMAL","Wasco",1416.5,2
"MLY-PRCP-NORMAL","Washington",4230,4
"MLY-PRCP-NORMAL","Wheeler",1460.5,2
"MLY-PRCP-NORMAL","Yamhill",6055.25,4
