STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,Completeness Flag,MLY-GRDD-BASE45,Completeness Flag,MLY-GRDD-BASE50,Completeness Flag,MLY-GRDD-BASE55,Completeness Flag,MLY-GRDD-BASE57,Completeness Flag,MLY-GRDD-BASE60,Completeness Flag,MLY-GRDD-BASE65,Completeness Flag,MLY-GRDD-BASE70,Completeness Flag,MLY-GRDD-BASE72,Completeness Flag,MLY-GRDD-TB4886,Completeness Flag,MLY-GRDD-TB5086,Completeness Flag,MLY-TMIN-PRBOCC-LSTH016,Completeness Flag,MLY-TMIN-PRBOCC-LSTH020,Completeness Flag,MLY-TMIN-PRBOCC-LSTH024,Completeness Flag,MLY-TMIN-PRBOCC-LSTH028,Completeness Flag,MLY-TMIN-PRBOCC-LSTH032,Completeness Flag,MLY-TMIN-PRBOCC-LSTH036,Completeness Flag,MLY-CLDD-BASE45,Completeness Flag,MLY-CLDD-BASE50,Completeness Flag,MLY-CLDD-BASE55,Completeness Flag,MLY-CLDD-BASE57,Completeness Flag,MLY-CLDD-BASE60,Completeness Flag,MLY-CLDD-NORMAL,Completeness Flag,MLY-CLDD-BASE70,Completeness Flag,MLY-CLDD-BASE72,Completeness Flag,MLY-HTDD-BASE40,Completeness Flag,MLY-HTDD-BASE45,Completeness Flag,MLY-HTDD-BASE50,Completeness Flag,MLY-HTDD-BASE55,Completeness Flag,MLY-HTDD-BASE57,Completeness Flag,MLY-HTDD-BASE60,Completeness Flag,MLY-HTDD-NORMAL,Completeness Flag,MLY-PRCP-25PCTL,Completeness Flag,MLY-SNOW-25PCTL,Completeness Flag,MLY-PRCP-50PCTL,Completeness Flag,MLY-SNOW-50PCTL,Completeness Flag,MLY-PRCP-75PCTL,Completeness Flag,MLY-SNOW-75PCTL,Completeness Flag,MLY-PRCP-NORMAL,Completeness Flag,MLY-SNOW-NORMAL,Completeness Flag,MLY-SNOW-AVGNDS-GE001TI,Completeness Flag,MLY-SNOW-AVGNDS-GE010TI,Completeness Flag,MLY-SNOW-AVGNDS-GE100TI,Completeness Flag,MLY-SNOW-AVGNDS-GE030TI,Completeness Flag,MLY-SNOW-AVGNDS-GE050TI,Completeness Flag,MLY-PRCP-AVGNDS-GE001HI,Completeness Flag,MLY-PRCP-AVGNDS-GE010HI,Completeness Flag,MLY-PRCP-AVGNDS-GE050HI,Completeness Flag,MLY-PRCP-AVGNDS-GE100HI,Completeness Flag,MLY-SNWD-AVGNDS-GE001WI,Completeness Flag,MLY-SNWD-AVGNDS-GE010WI,Completeness Flag,MLY-SNWD-AVGNDS-GE003WI,Completeness Flag,MLY-SNWD-AVGNDS-GE005WI,Completeness Flag,MLY-TMAX-AVGNDS-GRTH100,Completeness Flag,MLY-TMAX-AVGNDS-GRTH040,Completeness Flag,MLY-TMAX-AVGNDS-GRTH050,Completeness Flag,MLY-TMAX-AVGNDS-GRTH060,Completeness Flag,MLY-TMAX-AVGNDS-GRTH070,Completeness Flag,MLY-TMAX-AVGNDS-GRTH080,Completeness Flag,MLY-TMAX-AVGNDS-GRTH090,Completeness Flag,MLY-TMAX-AVGNDS-LSTH032,Completeness Flag,MLY-TMIN-AVGNDS-LSTH000,Completeness Flag,MLY-TMIN-AVGNDS-LSTH010,Completeness Flag,MLY-TMIN-AVGNDS-LSTH020,Completeness Flag,MLY-TMIN-AVGNDS-LSTH032,Completeness Flag,MLY-TMIN-AVGNDS-LSTH040,Completeness Flag,MLY-TMIN-AVGNDS-LSTH050,Completeness Flag,MLY-TMIN-AVGNDS-LSTH060,Completeness Flag,MLY-TMIN-AVGNDS-LSTH070,Completeness Flag,MLY-TAVG-NORMAL,Completeness Flag,MLY-DUTR-NORMAL,Completeness Flag,MLY-TMAX-NORMAL,Completeness Flag,MLY-TMIN-NORMAL,Completeness Flag,MLY-TAVG-STDDEV,Completeness Flag,MLY-DUTR-STDDEV,Completeness Flag,MLY-TMAX-STDDEV,Completeness Flag,MLY-TMIN-STDDEV,Completeness Flag
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201001,1,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,2,Q,1,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,419,Q,573,Q,728,Q,883,Q,945,Q,1038,Q,1193,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,101,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,88,Q,6,Q,0,Q,0,Q,0,Q,0,Q,102,Q,13,Q,66,Q,181,Q,297,Q,310,Q,310,Q,310,Q,310,Q,265,Q,184,Q,357,Q,173,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201002,2,Q,-7777,Q,-7777,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,7,Q,4,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-7777,Q,-7777,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,268,Q,406,Q,546,Q,686,Q,742,Q,826,Q,966,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,100,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,163,Q,29,Q,0,Q,0,Q,0,Q,0,Q,34,Q,0,Q,23,Q,140,Q,271,Q,279,Q,280,Q,280,Q,280,Q,305,Q,210,Q,410,Q,200,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201003,48,Q,14,Q,2,Q,-7777,Q,-7777,Q,0,Q,0,Q,0,Q,0,Q,66,Q,51,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,14,Q,2,Q,-7777,Q,-7777,Q,0,Q,0,Q,0,Q,0,Q,125,Q,245,Q,388,Q,541,Q,603,Q,696,Q,851,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,104,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,253,Q,139,Q,37,Q,4,Q,0,Q,0,Q,6,Q,0,Q,0,Q,50,Q,263,Q,306,Q,310,Q,310,Q,310,Q,376,Q,233,Q,492,Q,259,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201004,117,Q,46,Q,15,Q,4,Q,2,Q,1,Q,-7777,Q,0,Q,0,Q,131,Q,108,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,46,Q,15,Q,4,Q,2,Q,1,Q,-7777,Q,0,Q,0,Q,50,Q,128,Q,247,Q,387,Q,444,Q,533,Q,682,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,115,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,290,Q,217,Q,91,Q,26,Q,3,Q,0,Q,0,Q,0,Q,1,Q,23,Q,206,Q,294,Q,300,Q,300,Q,300,Q,423,Q,271,Q,558,Q,287,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201005,315,Q,183,Q,87,Q,35,Q,22,Q,9,Q,1,Q,-7777,Q,0,Q,258,Q,228,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,183,Q,87,Q,35,Q,22,Q,9,Q,1,Q,-7777,Q,0,Q,7,Q,30,Q,89,Q,192,Q,241,Q,321,Q,468,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,137,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,310,Q,294,Q,205,Q,91,Q,19,Q,0,Q,0,Q,0,Q,0,Q,9,Q,104,Q,226,Q,304,Q,310,Q,310,Q,500,Q,291,Q,645,Q,354,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201006,554,Q,405,Q,265,Q,149,Q,109,Q,62,Q,17,Q,2,Q,1,Q,399,Q,363,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,405,Q,265,Q,149,Q,109,Q,62,Q,17,Q,2,Q,1,Q,-7777,Q,1,Q,12,Q,45,Q,65,Q,108,Q,214,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,78,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,300,Q,300,Q,283,Q,205,Q,78,Q,4,Q,0,Q,0,Q,0,Q,0,Q,14,Q,100,Q,255,Q,300,Q,300,Q,585,Q,311,Q,740,Q,429,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201007,865,Q,711,Q,556,Q,403,Q,342,Q,255,Q,129,Q,45,Q,26,Q,613,Q,562,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,711,Q,556,Q,403,Q,342,Q,255,Q,129,Q,45,Q,26,Q,0,Q,0,Q,-7777,Q,2,Q,3,Q,9,Q,38,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,48,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,310,Q,310,Q,310,Q,304,Q,251,Q,62,Q,0,Q,0,Q,0,Q,0,Q,3,Q,16,Q,127,Q,278,Q,310,Q,680,Q,339,Q,849,Q,510,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201008,793,Q,638,Q,484,Q,335,Q,279,Q,198,Q,86,Q,23,Q,12,Q,561,Q,515,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,638,Q,484,Q,335,Q,279,Q,198,Q,86,Q,23,Q,12,Q,0,Q,-7777,Q,1,Q,7,Q,12,Q,24,Q,68,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,52,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,310,Q,310,Q,306,Q,289,Q,217,Q,56,Q,0,Q,0,Q,0,Q,0,Q,5,Q,28,Q,184,Q,300,Q,310,Q,656,Q,346,Q,829,Q,483,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201009,516,Q,372,Q,240,Q,135,Q,102,Q,60,Q,16,Q,2,Q,1,Q,405,Q,372,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,372,Q,240,Q,135,Q,102,Q,60,Q,16,Q,2,Q,1,Q,2,Q,8,Q,26,Q,71,Q,98,Q,145,Q,252,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,49,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,300,Q,295,Q,282,Q,207,Q,95,Q,5,Q,0,Q,0,Q,0,Q,0,Q,54,Q,154,Q,280,Q,300,Q,300,Q,572,Q,353,Q,748,Q,395,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201010,219,Q,117,Q,46,Q,15,Q,9,Q,3,Q,-7777,Q,0,Q,0,Q,219,Q,192,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,117,Q,46,Q,15,Q,9,Q,3,Q,-7777,Q,0,Q,0,Q,27,Q,79,Q,164,Q,288,Q,343,Q,431,Q,583,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,87,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,305,Q,259,Q,176,Q,63,Q,11,Q,0,Q,0,Q,0,Q,1,Q,20,Q,174,Q,276,Q,310,Q,310,Q,310,Q,462,Q,308,Q,616,Q,308,Q,-9999, ,-9999, ,-9999, ,-9999, 
