"datatype","county","county_average","stations"
"MLY-PRCP-NORMAL","Baker",16.23,5
"MLY-PRCP-NORMAL","Benton",58.62,3
"MLY-PRCP-NORMAL","Clackamas",65.96,8
"MLY-PRCP-NORMAL","Clatsop",85.95,4
"MLY-PRCP-NORMAL","Columbia",47.77,4
"MLY-PRCP-NORMAL","Coos",61.96,5
"MLY-PRCP-NORMAL","Crook",12.24,2
"MLY-PRCP-NORMAL","Curry",84.44,5
"MLY-PRCP-NORMAL","Deschutes",12.9,8
"MLY-PRCP-NORMAL","Douglas",44.32,16
"MLY-PRCP-NORMAL","Gilliam",11.87,2
"MLY-PRCP-NORMAL","Grant",15.22,7
"MLY-PRCP-NORMAL","Harney",10.73,8
"MLY-PRCP-NORMAL","Hood River",32.7,2
"MLY-PRCP-NORMAL","Jackson",27,9
"MLY-PRCP-NORMAL","Jefferson",12.39,7
"MLY-PRCP-NORMAL","Josephine",40.38,4
"MLY-PRCP-NORMAL","Klamath",28.81,7
"MLY-PRCP-NORMAL","Lake",11.86,9
"MLY-PRCP-NORMAL","Lane",60.57,14
"MLY-PRCP-NORMAL","Lincoln",83.99,3
"MLY-PRCP-NORMAL","Linn",61.77,10
"MLY-PRCP-NORMAL","Malheur",10.04,12
"MLY-PRCP-NORMAL","Marion",57.23,6
"MLY-PRCP-NORMAL","Morrow",11.77,3
"MLY-PRCP-NORMAL","Multnomah",49.37,5
"MLY-PRCP-NORMAL","Polk",74.42,4
"MLY-PRCP-NORMAL","Sherman",11.8,2
"MLY-PRCP-NORMAL","Tillamook",83.98,2
"MLY-PRCP-NORMAL","Umatilla",16.51,12
"MLY-PRCP-NORMAL","Union",17.49,3
"MLY-PRCP-NORMAL","Wallowa",17.7,4
"MLY-PRCP-NORMAL","Wasco",14.17,2
"MLY-PRCP-NORMAL","Washington",42.3,4
"MLY-PRCP-NORMAL","Wheeler",14.61,2
"MLY-PRCP-NORMAL","Yamhill",60.55,4
