"datatype","county","station_id","annual_total","months"
"MLY-GRDD-BASE50","Baker","GHCND:USC00353604",2059,12
"MLY-GRDD-BASE50","Baker","GHCND:USC00354098",3329,12
"MLY-GRDD-BASE50","Baker","GHCND:USC00357160",2533,12
"MLY-GRDD-BASE50","Baker","GHCND:USW00024130",1537,12
"MLY-GRDD-BASE50","Benton","GHCND:USC00351862",2177,12
"MLY-GRDD-BASE50","Benton","GHCND:USC00351877",2071,12
"MLY-GRDD-BASE50","Benton","GHCND:USW00004236",1989,12
"MLY-GRDD-BASE50","Clackamas","GHCND:USC00352693",2257,12
"MLY-GRDD-BASE50","Clackamas","GHCND:USC00353402",867,12
"MLY-GRDD-BASE50","Clackamas","GHCND:USC00353770",1977,12
"MLY-GRDD-BASE50","Clackamas","GHCND:USC00355681",2427,12
"MLY-GRDD-BASE50","Clackamas","GHCND:USC00356334",2825,12
"MLY-GRDD-BASE50","Clackamas","GHCND:USC00357631",1414,12
"MLY-GRDD-BASE50","Clackamas","GHCND:USC00358466",1740,12
"MLY-GRDD-BASE50","Clatsop","GHCND:USC00353014",1481,12
"MLY-GRDD-BASE50","Clatsop","GHCND:USC00357641",1191,12
"MLY-GRDD-BASE50","Clatsop","GHCND:USW00094224",1422,12
"MLY-GRDD-BASE50","Columbia","GHCND:USC00351643",1696,12
"MLY-GRDD-BASE50","Columbia","GHCND:USC00357466",2153,12
"MLY-GRDD-BASE50","Columbia","GHCND:USC00358884",1325,12
"MLY-GRDD-BASE50","Columbia","GHCND:USW00004201",2112,12
"MLY-GRDD-BASE50","Coos","GHCND:USC00350471",1520,12
"MLY-GRDD-BASE50","Coos","GHCND:USC00351836",1751,12
"MLY-GRDD-BASE50","Coos","GHCND:USC00356820",2310,12
"MLY-GRDD-BASE50","Coos","GHCND:USW00004141",1073,12
"MLY-GRDD-BASE50","Coos","GHCND:USW00024284",1325,12
"MLY-GRDD-BASE50","Crook","GHCND:USC00350501",1711,12
"MLY-GRDD-BASE50","Crook","GHCND:USC00356883",1919,12
"MLY-GRDD-BASE50","Curry","GHCND:USC00351058",1675,12
"MLY-GRDD-BASE50","Curry","GHCND:USC00353356",1729,12
"MLY-GRDD-BASE50","Curry","GHCND:USC00354721",1869,12
"MLY-GRDD-BASE50","Curry","GHCND:USC00356784",1517,12
"MLY-GRDD-BASE50","Deschutes","GHCND:USC00350694",1551,12
"MLY-GRDD-BASE50","Deschutes","GHCND:USC00350699",1625,12
"MLY-GRDD-BASE50","Deschutes","GHCND:USC00351067",1195,12
"MLY-GRDD-BASE50","Deschutes","GHCND:USC00357857",1501,12
"MLY-GRDD-BASE50","Deschutes","GHCND:USC00358246",1128,12
"MLY-GRDD-BASE50","Deschutes","GHCND:USC00359316",1387,12
"MLY-GRDD-BASE50","Deschutes","GHCND:USW00024230",1683,12
"MLY-GRDD-BASE50","Douglas","GHCND:USC00352406",2481,12
"MLY-GRDD-BASE50","Douglas","GHCND:USC00352632",2300,12
"MLY-GRDD-BASE50","Douglas","GHCND:USC00353193",1522,12
"MLY-GRDD-BASE50","Douglas","GHCND:USC00354126",2128,12
"MLY-GRDD-BASE50","Douglas","GHCND:USC00354835",1552,12
"MLY-GRDD-BASE50","Douglas","GHCND:USC00357169",2695,12
"MLY-GRDD-BASE50","Douglas","GHCND:USC00357331",2975,12
