"state","county","fips","elevation","mindate","maxdate","latitude","name","datacoverage","id","elevationUnit","longitude"
"Oregon","Baker",41001,808.6,"2010-01-01","2010-12-01",44.8773,"HALFWAY, OR US",1,"GHCND:USC00353604","METERS",-117.1095
"Oregon","Baker",41001,643.1,"2010-01-01","2010-12-01",44.3564,"HUNTINGTON, OR US",1,"GHCND:USC00354098","METERS",-117.2549
"Oregon","Baker",41001,675.1,"2010-01-01","2010-12-01",44.7656,"RICHLAND, OR US",1,"GHCND:USC00357160","METERS",-117.1597
"Oregon","Baker",41001,1222.9,"2010-01-01","2010-12-01",44.90944,"ROCK CREEK, OR US",1,"GHCND:USC00357250","METERS",-118.0625
"Oregon","Baker",41001,1024.4,"2010-01-01","2010-12-01",44.8428,"BAKER CITY MUNICIPAL AIRPORT, OR US",1,"GHCND:USW00024130","METERS",-117.8086
"Oregon","Benton",41003,68.6,"2010-01-01","2010-12-01",44.63417,"CORVALLIS STATE UNIVERSITY, OR US",1,"GHCND:USC00351862","METERS",-123.19
"Oregon","Benton",41003,180.4,"2010-01-01","2010-12-01",44.5077,"CORVALLIS WATER BUREAU, OR US",1,"GHCND:USC00351877","METERS",-123.4575
"Oregon","Benton",41003,227.4,"2010-01-01","2010-12-01",44.6369,"SUMMIT, OR US",1,"GHCND:USC00358182","METERS",-123.5786
"Oregon","Benton",41003,95.1,"2010-01-01","2010-12-01",44.4185,"CORVALLIS 10 SSW, OR US",1,"GHCND:USW00004236","METERS",-123.3257
"Oregon","Clackamas",41005,282.2,"2010-01-01","2010-12-01",45.2762,"EAGLE CREEK 9 SE, OR US",1,"GHCND:USC00352493","METERS",-122.202
"Oregon","Clackamas",41005,137.2,"2010-01-01","2010-12-01",45.26889,"ESTACADA 2 SE, OR US",1,"GHCND:USC00352693","METERS",-122.31861
"Oregon","Clackamas",41005,1213.1,"2010-01-01","2010-12-01",45.3013,"GOVERNMENT CAMP, OR US",1,"GHCND:USC00353402","METERS",-121.7416
"Oregon","Clackamas",41005,228,"2010-01-01","2010-12-01",45.4486,"HEADWORKS PORTLAND WATER B, OR US",1,"GHCND:USC00353770","METERS",-122.1547
"Oregon","Clackamas",41005,197.2,"2010-01-01","2010-12-01",45.1783,"MOLALLA 7 NE, OR US",1,"GHCND:USC00355681","METERS",-122.5063
"Oregon","Clackamas",41005,50.9,"2010-01-01","2010-12-01",45.3558,"OREGON CITY, OR US",1,"GHCND:USC00356334","METERS",-122.6047
"Oregon","Clackamas",41005,705.6,"2010-01-01","2010-12-01",44.9527,"SCOTTS MILLS 9 SE, OR US",1,"GHCND:USC00357631","METERS",-122.525
"Oregon","Clackamas",41005,341.4,"2010-01-01","2010-12-01",45.1219,"THREE LYNX, OR US",1,"GHCND:USC00358466","METERS",-122.07
"Oregon","Clatsop",41007,12.8,"2010-01-01","2010-12-01",46.1358,"FORT CLATSOP NATIONAL MONUMENT, OR US",1,"GHCND:USC00353014","METERS",-123.8783
"Oregon","Clatsop",41007,42.7,"2010-01-01","2010-12-01",45.8127,"NEHALEM 9 NE, OR US",1,"GHCND:USC00355971","METERS",-123.7752
"Oregon","Clatsop",41007,3,"2010-01-01","2010-12-01",45.98694,"SEASIDE, OR US",1,"GHCND:USC00357641","METERS",-123.92361
"Oregon","Clatsop",41007,2.7,"2010-01-01","2010-12-01",46.1569,"ASTORIA REGIONAL AIRPORT, OR US",1,"GHCND:USW00094224","METERS",-123.8825
"Oregon","Columbia",41009,6.7,"2010-01-01","2010-12-01",46.1081,"CLATSKANIE, OR US",1,"GHCND:USC00351643","METERS",-123.2058
"Oregon","Columbia",41009,82,"2010-01-01","2010-12-01",45.8488,"ST HELENS RFD, OR US",1,"GHCND:USC00357466","METERS",-122.8722
"Oregon","Columbia",41009,190.5,"2010-01-01","2010-12-01",45.8652,"VERNONIA 2, OR US",1,"GHCND:USC00358884","METERS",-123.1902
"Oregon","Columbia",41009,16.8,"2010-01-01","2010-12-01",45.77278,"SCAPPOOSE INDUSTRIAL AIRPORT, OR US",1,"GHCND:USW00004201","METERS",-122.86111
"Oregon","Coos",41011,6.1,"2010-01-01","2010-12-01",43.1497,"BANDON 2 NNE, OR US",1,"GHCND:USC00350471","METERS",-124.4019
"Oregon","Coos",41011,7,"2010-01-01","2010-12-01",43.1872,"COQUILLE CITY, OR US",1,"GHCND:USC00351836","METERS",-124.2025
"Oregon","Coos",41011,59.4,"2010-01-01","2010-12-01",43.2589,"FAIRVIEW 4 NE, OR US",1,"GHCND:USC00352775","METERS",-124.0233
"Oregon","Coos",41011,70.1,"2010-01-01","2010-12-01",42.8886,"POWERS, OR US",1,"GHCND:USC00356820","METERS",-124.0688
"Oregon","Coos",41011,3.7,"2010-01-01","2010-12-01",43.2718,"COOS BAY 8 SW, OR US",1,"GHCND:USW00004141","METERS",-124.3186
"Oregon","Coos",41011,5.2,"2010-01-01","2010-12-01",43.41333,"NORTH BEND SOUTHWEST OREGON REGIONAL AIRPORT, OR US",1,"GHCND:USW00024284","METERS",-124.24361
"Oregon","Crook",41013,1210.1,"2010-01-01","2010-12-01",43.9456,"BARNES STATION, OR US",1,"GHCND:USC00350501","METERS",-120.2169
"Oregon","Crook",41013,888.5,"2010-01-01","2010-12-01",44.3023,"PRINEVILLE, OR US",1,"GHCND:USC00356883","METERS",-120.808
"Oregon","Curry",41015,25,"2010-01-01","2010-12-01",42.0463,"BROOKINGS, OR US",1,"GHCND:USC00351058","METERS",-124.2877
"Oregon","Curry",41015,15.2,"2010-01-01","2010-12-01",42.4036,"GOLD BEACH RANGER STATION, OR US",1,"GHCND:USC00353356","METERS",-124.4242
"Oregon","Curry",41015,27.4,"2010-01-01","2010-12-01",42.9242,"LANGLOIS NUMBER 2, OR US",1,"GHCND:USC00354721","METERS",-124.4533
"Oregon","Curry",41015,12.8,"2010-01-01","2010-12-01",42.7519,"PORT ORFORD 2, OR US",1,"GHCND:USC00356784","METERS",-124.5011
